ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
8468;501_Aldoar_Bairro de Francos;13;910;1;4780;1;Y
8469;501_Bairro de Francos_Boavista;910;4;1;1040;1;Y
8474;901_Cabine_Valadares;110;113;1;3580;1;Y
8475;901_Valadares_Cabine;113;110;1;3300;1;Y
8478;906_Cabine_Madalena;110;112;1;5730;1;Y
8479;906_Madalena_Cabine;112;110;1;5330;1;Y
806274;UOF_Seixo;11;137;2;10000;1;Y
806275;Seixo_UOF;137;11;2;10000;1;Y
806314;207_Campanha_Praca D.Joao I;34;800427;1;2730;1;Y
806315;207_Praca D.Joao I_Praca da Galiza;800427;19;1;2140;1;Y
8533;401_Bolhao_Campo 24 Agosto;82;183;1;930;1;Y
8539;UON_Bolhao Mercado;1;82;2;8100;1;Y
8540;Bolhao Mercado_UON;82;1;2;7200;20;Y
8565;Sonhos_UON;161;1;2;12900;1;Y
805994;700_Campo 24 Agosto_S.Roque;183;7;1;3780;1;Y
805995;700_S.Roque_Campo 24 Agosto;7;183;1;3650;1;Y
806254;Rio Tinto (Igreja)_UOF;1126;11;2;10000;1;Y
7451;7M_S.Roque_Seixo;7;137;1;4680;12;Y
7452;7M_Seixo_S.Roque;137;7;1;4400;12;Y
7453;7M_Seixo_Valongo;137;122;1;3680;15;Y
7454;7M_Valongo_Seixo;122;137;1;4520;15;Y
10585;805_Marques_Antas;9;8;1;1850;1;Y
10586;805_Antas_Marques;8;9;1;1610;1;Y
10587;805_Antas_Areosa;8;27;1;2120;1;Y
10588;805_Areosa_Antas;27;8;1;1900;1;Y
10925;UOF_Gatoes;11;47;2;7300;1;Y
10926;Gatoes_UON;47;11;2;7300;1;Y
10945;Praca da Galiza_UON;19;1;2;5000;1;Y
10965;305_Campo 24 Agosto_Bolhao;183;82;1;500;1;Y
10966;305_Bolhao_Campo 24 Agosto;82;183;1;500;1;Y
7645;UOF_Leca;11;75;2;7400;1;Y
7585;Carvalhosa_UOF;1006;11;2;5000;1;Y
7687;67_Queimodromo_Hospital de S.Joao;1686;28;1;10000;20;Y
7725;88_Praca_Stº Ovidio;5;53;1;5000;25;Y
7726;88_Stº Ovidio_Praca;53;5;1;5000;25;Y
7787;500_Massarelos_Fluvial;68;1027;1;1880;1;Y
7788;500_Fluvial_Massarelos;1027;68;1;1920;1;Y
7789;500_Fluvial_Passeio Alegre;1027;25;1;1710;1;Y
7790;500_Passeio Alegre_Fluvial;25;1027;1;1640;1;Y
7791;500_Passeio Alegre_Castelo do Queijo;25;15;1;2680;1;Y
7793;500_Castelo do Queijo_Matosinhos Mercado;15;1066;1;2520;1;Y
7847;800-Campo 24 Agosto_Corujeira;183;177;1;2260;1;Y
7848;800_Corujeira_Campo 24 Agosto;177;183;1;2140;1;Y
7849;800_Corujeira_S.Roque;177;7;1;1500;1;Y
7850;800_S.Roque_Corujeira;7;177;1;1520;1;Y
7851;800_S.Roque_Stª Eulalia;7;93;1;3720;1;Y
7852;800_Stª Eulalia_S.Roque;93;7;1;3570;1;Y
7853;800_Stª Eulalia_Gondomar;93;134;1;3390;1;Y
7854;800_Gondomar_Stª Eulalia;134;93;1;2710;1;Y
7867;801_Campo 24 Agosto_Corujeira;183;177;1;2260;1;Y
7868;801_Corujeira_Campo 24 Agosto;177;183;1;2140;1;Y
7869;801_Corujeira_S.Roque;177;7;1;1500;1;Y
7870;801_S.Roque_Corujeira;7;177;1;1520;1;Y
7871;801_S.Roque_Stª Eulalia;7;93;1;3720;1;Y
7872;801_Stª Eulalia_S.Roque;93;7;1;3540;1;Y
7873;801_Stª Eulalia_S.Pedro da Cova;93;157;1;2870;1;Y
7874;801_S.Pedro da Cova_Stª Eulalia;157;93;1;2820;1;Y
7875;701_Bolhao_Marques;23;9;1;1250;1;Y
7876;701_Marques_Bolhao;9;23;1;1400;1;Y
7877;701_Marques_Areosa;9;27;1;2940;1;Y
7878;701_Areosa_Marques;27;9;1;2950;1;Y
7879;701_Areosa_Alto da Maia;27;123;1;3360;1;Y
7880;701_Alto da Maia_Areosa;123;27;1;3420;1;Y
7881;701_Alto da Maia_Ermesinde;123;63;1;1980;1;Y
7882;701_Ermesinde_Alto da Maia;63;123;1;1880;1;Y
7883;701_Ermesinde_Codiceira;63;64;1;5640;1;Y
7884;701_Codiceira_Ermesinde;64;63;1;6150;1;Y
7885;702_Bolhao_Marques;23;9;1;1250;1;Y
7886;702_Marques_Bolhao;9;23;1;1400;1;Y
7887;702_Marques_Areosa;9;27;1;2940;1;Y
7888;702_Areosa_Marques;27;9;1;2950;1;Y
7889;702_Areosa_Alto da Maia;27;123;1;3360;1;Y
7890;702_Alto da Maia_Areosa;123;27;1;3420;1;Y
7891;702_Alto da Maia_Travagem;123;171;1;3020;1;Y
7892;702_Travagem_Alto da Maia;171;123;1;2650;1;Y
7893;302_Aliados_Boavista;38;4;1;2390;1;Y
7894;302_Boavista_Marques;4;9;1;2120;1;Y
7895;302_Marques_Campo 24 Agosto;9;183;1;2140;1;Y
7896;302_Campo 24 Agosto_Aliados;183;38;1;1370;1;Y
7897;303_Praca_Campo 24 Agosto;5;183;1;1840;1;Y
7898;303_Campo 24 Agosto_Marques;183;9;1;2360;1;Y
7899;303_Marques_Boavista;9;4;1;2650;1;Y
7900;303_Boavista_Praca;4;5;1;3020;1;Y
7901;705_Hospital de S.Joao_Parada;28;115;1;4100;1;Y
7902;705_Parada_Hospital de S.Joao;115;28;1;3280;1;Y
7903;705_Parada_Alto da Maia;115;123;1;3340;1;Y
7904;705_Alto da Maia_Parada;123;115;1;3150;1;Y
7905;705_Alto da Maia_Ermesinde;123;63;1;2650;7;Y
7907;705_Ermesinde_Alto da Serra;63;94;1;5070;13;Y
7908;705_Alto da Serra_Ermesinde;94;63;1;4900;13;Y
7909;705_Alto da Serra_Valongo;94;122;1;5810;20;Y
7910;705_Valongo_Alto da Serra;122;94;1;5720;20;Y
7927;200_Praca da Galiza_Lordelo;19;30;1;1910;1;Y
