LINE_VERSION_ID;PATH_ID;ID;ORIENTATION;INTERNAL
1115;1614308;22229;0;N
1115;1614306;22230;0;N
1115;1614307;22231;0;N
800646;1614326;22246;0;N
800646;1614327;22247;0;N
841;401603;22370;0;N
841;401605;22371;0;N
841;1613092;22372;0;N
841;1613093;22373;0;N
841;1614406;22374;0;N
841;1614407;22375;0;N
841;1614426;22376;0;N
841;1614427;22377;0;N
1335;177414;23866;0;N
1335;177415;23867;0;N
1335;177416;23868;0;N
1335;177417;23869;0;N
1335;179961;23870;0;N
1335;179959;23871;0;N
800387;1612369;24106;0;N
800386;1612366;23989;0;N
800387;1612368;24107;0;N
834;401201;22906;0;N
834;401203;22907;0;N
834;1611341;22908;0;N
834;1611343;22909;0;N
834;1613089;22910;0;N
834;1613088;22911;0;N
834;1614566;22912;0;N
834;1614567;22913;0;N
1335;179962;23872;0;N
1335;179960;23873;0;N
957;174250;23886;0;N
800387;1615491;24108;0;N
800387;1615490;24109;0;N
1134;172692;23035;0;N
1134;172693;23036;0;N
1134;172694;23037;0;N
1134;1614790;23038;0;N
1134;1614791;23039;0;N
1017;175730;23174;0;N
1017;175731;23175;0;N
1017;175732;23176;0;N
1017;1614187;23177;0;N
1017;1614186;23178;0;N
1017;1614188;23179;0;N
1136;176613;23050;0;N
1136;176614;23051;0;N
1136;178010;23052;0;N
1136;1614800;23053;0;N
1136;1614799;23054;0;N
957;174251;23887;0;N
957;178212;23888;0;N
957;178213;23889;0;N
800807;1615352;23951;0;N
2237;1612346;23987;0;N
800806;1615350;23949;0;N
800806;1615354;23950;0;N
800807;1615356;23952;0;N
2237;1612347;23988;0;N
800386;1612367;23990;0;N
634;1613246;23991;0;N
634;1613247;23992;0;N
1055;172587;23226;0;N
1055;172588;23227;0;N
1055;172589;23228;0;N
1055;172590;23229;0;N
1055;173048;23230;0;N
1055;1614886;23231;0;N
1055;1614887;23232;0;N
1055;1614889;23233;0;N
1017;1614549;23180;0;N
1017;1614550;23181;0;N
1017;1614548;23182;0;N
1055;1614888;23234;0;N
1335;179964;23874;0;N
1335;401043;23875;0;N
1335;176832;23876;0;N
1335;176833;23877;0;N
1335;1612886;23878;0;N
1335;1613766;23879;0;N
1335;1613767;23880;0;N
1335;1614846;23881;0;N
1335;1614847;23882;0;N
976;178590;23398;0;N
976;178591;23399;0;N
976;1614229;23400;0;N
976;1614230;23401;0;N
976;1614228;23402;0;N
1019;1613686;22886;0;N
1019;1613689;22887;0;N
1019;1613688;22888;0;N
1019;1613687;22889;0;N
954;1612148;22926;0;N
954;1612206;22927;0;N
954;1614606;22928;0;N
954;1614607;22929;0;N
954;1614626;22930;0;N
954;1614627;22931;0;N
800766;1615250;23686;0;N
800766;1615251;23687;0;N
800726;1615130;23588;0;N
800726;1615135;23589;0;N
800726;1615134;23590;0;N
915;175330;23506;0;N
915;175331;23507;0;N
915;1615050;23508;0;N
915;1615051;23509;0;N
2214;179771;23526;0;N
2214;400931;23527;0;N
2214;179770;23528;0;N
2214;1609941;23529;0;N
2214;1609981;23530;0;N
2214;1614087;23531;0;N
2214;1615070;23532;0;N
2214;1615071;23533;0;N
800726;1615152;23591;0;N
800726;1615150;23592;0;N
1354;1611784;23574;0;N
1354;1611785;23575;0;N
1354;1611945;23576;0;N
1354;1611944;23577;0;N
1354;1613147;23578;0;N
1354;1613146;23579;0;N
1354;1615110;23580;0;N
1354;1615111;23581;0;N
1354;1615112;23582;0;N
1354;1615113;23583;0;N
800726;1615151;23593;0;N
1022;1611544;23786;0;N
1022;1614527;23787;0;N
1022;1614526;23788;0;N
1022;1614528;23789;0;N
1022;1614689;23790;0;N
1022;1614690;23791;0;N
1022;1615270;23792;0;N
2174;1612386;24001;0;N
2174;1612387;24002;0;N
800826;1615393;24003;0;N
800826;1615392;24004;0;N
974;172561;24028;0;N
974;172971;24029;0;N
974;174050;24030;0;N
974;174051;24031;0;N
974;174070;24032;0;N
974;1614789;24033;0;N
974;1614788;24034;0;N
974;1614786;24035;0;N
974;1614787;24036;0;N
974;1615431;24037;0;N
974;1615432;24038;0;N
843;1613094;24097;0;N
843;1613095;24098;0;N
843;1614756;24099;0;N
843;1614758;24100;0;N
843;1615453;24101;0;N
843;1615454;24102;0;N
896;172352;23330;0;N
896;172353;23331;0;N
896;172585;23332;0;N
896;1614951;23333;0;N
1214;173668;24050;0;N
1214;173669;24051;0;N
1015;1612026;22842;0;N
1015;176092;22843;0;N
1015;176093;22844;0;N
1015;1614608;22845;0;N
1015;1614609;22846;0;N
1154;1614530;22853;0;N
1154;1614529;22854;0;N
1594;1613188;22914;0;N
1594;1613186;22915;0;N
800686;1614666;22799;0;N
800686;1614667;22800;0;N
1594;1613187;22916;0;N
1594;1613927;22917;0;N
800686;1614669;22801;0;N
800686;1614671;22802;0;N
956;1614890;23467;0;N
956;1614891;23468;0;N
956;1615030;23469;0;N
1634;1613266;24165;0;N
1634;1613267;24166;0;N
800606;1614860;24126;0;N
800606;1614859;24127;0;N
800606;1615511;24128;0;N
800606;1615510;24129;0;N
800426;1612406;24152;0;N
800426;1615553;24153;0;N
1594;1613926;22918;0;N
1594;1613928;22919;0;N
1374;179653;23966;0;N
1374;179670;23967;0;N
1374;1614907;23968;0;N
1374;1614909;23969;0;N
1374;1614906;23970;0;N
1374;1614947;23971;0;N
1374;1615310;23972;0;N
1374;1615330;23973;0;N
1374;1615332;23974;0;N
1634;1614026;24167;0;N
1634;1614027;24168;0;N
1634;1615551;24169;0;N
1634;1615550;24170;0;N
1374;1615370;23975;0;N
