PATH_SEG_VERSION_ID;TRACK_ID;SETR_ORDER
1616689;18545;0
1616689;20659;4
1616689;21385;8
1616689;21386;9
1616691;10978;7
1616691;12497;3
1616691;12498;4
1616691;13584;5
1616691;13585;6
1616691;16022;0
1616691;21235;1
1616691;21236;2
1616713;12595;5
1616713;12913;3
1616713;15122;4
1616713;20990;0
1616713;21049;1
1616713;21050;2
1616877;14769;2
1616877;14770;3
1616877;14771;4
1616877;17943;5
1616877;17944;6
1616877;17945;7
1616877;20954;0
1616877;20955;1
1616877;20956;8
1616879;13511;2
1616879;13513;6
1616879;13514;7
1616879;13515;8
1616879;13516;9
1616879;13517;10
1616879;13519;13
1616879;13677;5
1616879;15398;3
1616879;15399;4
1616879;16077;1
1616879;18718;11
1616879;18719;12
1616879;20957;0
1616881;13418;5
1616881;13419;6
1616881;13420;7
1616881;13522;1
1616881;13523;2
1616881;13524;3
1616881;17086;0
1616881;17542;4
1616931;12595;5
1616931;12913;3
1616931;15122;4
1616931;19496;0
1616931;21049;1
1616931;21050;2
1616983;11213;5
1616983;13118;10
1616983;13673;3
1616983;13674;4
1616983;19579;6
1616983;19580;7
1616983;20505;8
1616983;20506;9
1616983;21183;0
1616983;21184;1
1616983;21185;2
1616985;12008;3
1616985;12009;4
1616985;12524;17
1616985;12525;18
1616985;13119;0
1616985;13120;1
1616985;13121;2
1616985;13726;16
1616985;16999;9
1616985;17000;10
1616985;17001;11
1616985;17002;12
1616985;17003;13
1616985;18066;5
1616985;18067;6
1616985;20213;7
1616985;20214;8
1616985;21190;14
1616985;21191;15
1616987;13691;4
1616987;13692;5
1616987;13693;6
1616987;13694;7
1616987;17006;2
1616987;21192;0
1616987;21193;1
1616987;21194;3
1616989;11314;0
1616989;11316;3
1616989;11317;4
1616989;11318;5
1616989;11319;6
1616989;15285;1
1616989;15286;2
1616989;19882;11
1616989;21195;7
1616989;21196;8
1616989;21197;9
1616989;21198;10
1616991;11447;0
1616991;13541;3
1616991;17470;1
1616991;17471;2
1616991;19645;4
1616991;19883;7
1616991;19884;8
1616991;19885;9
1616991;19886;10
1616991;21517;5
1616991;21518;6
1616993;11111;5
1616993;12386;8
1616993;12562;3
1616993;17468;6
1616993;17469;7
1616993;18454;4
1616993;19349;1
1616993;19881;2
1616993;21025;0
1616995;11390;8
1616995;11391;9
1616995;11393;12
1616995;12478;0
1616995;15283;10
1616995;15284;11
1616995;17970;1
1616995;17992;5
1616995;18000;6
1616995;18001;7
1616995;21169;2
1616995;21170;3
1616995;21171;4
1616997;13811;0
1616997;13812;1
1616997;13813;2
1616997;13814;3
1616997;17027;5
1616997;21172;4
1616997;21173;6
1616997;21174;7
1616999;12006;14
1616999;12007;15
1616999;13084;0
1616999;13085;1
1616999;13086;2
1616999;13093;16
1616999;13094;17
1616999;13095;18
1616999;17030;5
1616999;17031;6
1616999;17032;7
1616999;17033;8
1616999;17034;9
1616999;18064;12
1616999;18065;13
1616999;20211;10
1616999;20212;11
1616999;21175;3
1616999;21176;4
1617001;11215;5
1617001;13096;0
1617001;19577;3
1617001;19578;4
1617001;20487;1
1617001;20488;2
1617001;21181;8
1617001;21182;9
1617001;21213;6
1617001;21214;7
1617003;15193;0
1617003;19490;3
1617003;19491;4
1617003;20518;1
1617003;20519;2
1617005;19492;0
1617005;19493;1
1617005;19635;3
1617005;19642;4
1617005;19762;2
1617007;12541;0
1617007;12542;1
1617007;12543;2
1617007;12544;3
1617007;12547;6
1617007;12548;7
1617007;13673;10
1617007;13674;11
1617007;21063;4
1617007;21064;5
1617007;21184;8
1617007;21185;9
1617009;13675;0
1617009;13676;1
1617009;14789;2
1617009;16678;3
1617009;20682;4
1617009;20683;5
1617009;20684;6
1617009;20685;7
1617009;20686;8
1617009;20687;9
1617011;12526;0
1617011;12527;4
1617011;12528;5
1617011;12529;6
