ID;GLINE_VERSION_ID;NODE_ID;NODE_STATUS_ID
6438867;2116;68;2
6439024;2356;33;2
6438868;2116;170;1
6438869;2116;170;2
6439025;2356;5;2
6439341;1854;746;2
6439342;1854;11;1
6439343;1854;1;1
6438621;802047;1;1
6438622;802047;11;1
6439669;802307;11;1
6439141;3256;170;1
6439142;3256;1226;2
6439221;802207;1;1
6437230;801507;1;1
6437231;801507;11;2
6437232;801507;11;1
6437233;801507;1;2
6438724;2537;1;1
6438725;2537;28;2
6438726;2537;82;2
6438727;2537;23;2
6438739;802067;28;2
6438740;802067;1486;2
6438741;802067;1;1
6437825;1803;11;1
6437826;1803;28;2
6438870;2536;18;2
6438871;2536;11;1
6437827;1803;1;1
6437321;2637;1;1
6437828;1922;11;1
6437322;2637;11;1
6439248;116;7;3
6439249;116;82;2
6439250;116;82;3
6439251;116;122;2
6439252;116;127;1
6437829;1922;28;2
6437830;1922;1;1
6438872;2536;26;2
6438873;2536;33;2
6438874;2536;1112;2
6438875;2536;60;2
6437962;1844;1;1
6437963;1844;23;2
6437964;1844;1;3
6439253;116;137;3
6439254;116;140;2
6437965;1844;11;1
6439061;802147;23;2
6439062;802147;38;2
6439063;802147;11;1
6439484;802227;183;2
6439485;802227;1;1
6439741;801907;11;1
6439742;801907;1112;2
6439781;1817;11;1
6439782;1817;28;2
6439783;1817;1486;2
6439784;1817;1;1
6439785;801165;1;1
6439786;801165;82;2
6439787;801165;11;1
6439639;802287;11;1
6439640;802287;1;1
6439633;3936;1;1
6439634;3936;11;1
6439665;1916;1;1
6439666;1916;23;2
6439667;1916;11;1
6439668;1916;18;2
6439801;1842;11;1
6439802;1842;18;2
6439803;1842;1;1
6439577;802247;4;2
6439578;802248;4;2
6439646;1838;11;1
6439647;1838;23;2
6439670;1625;11;1
6439671;1625;1;1
6439655;2196;1;1
6439656;2196;11;1
6439840;3036;11;1
6439847;801567;38;3
6439848;801567;1686;3
6439849;801567;1;1
6439850;801567;38;2
6439851;801567;1686;2
6439841;3036;38;3
6439842;3036;1246;3
6439843;3036;4;2
6439844;3036;1;1
6439845;3036;27;2
6439846;3036;1686;2
6439721;801548;11;1
6439722;801548;1;1
6439861;802127;11;1
6439601;801607;11;1
6439602;801607;800427;2
6439862;802127;800266;2
