ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
1615290;Amial_UOF;N;1;1
1615432;502_Castelo do Queijo_Bolhao;N;0;0
1614268;UOF_Francelos;N;1;0
1614269;Francelos_UOF;N;1;0
1614286;107_Estadio Dragão_Areias;N;0;0
1614287;107_Areias_Estadio Dragão;N;0;0
1614288;107_Estadio Dragão_Freixo;N;0;0
1614289;107_Freixo_Estadio Dragão;N;0;0
1614290;Freixo_UON;N;1;0
1614306;603_Marques_Maia;N;2;0
1614307;603_Maia_Marques;N;2;0
1614308;603_H.S.Joao_Maia;N;2;0
1614328;UOF_Vermoim;N;1;0
1614326;605_Gueifães_Vermoim;N;0;0
1614327;605_Vermoim_Gueifães;N;0;0
1614329;Vermoim_UOF;N;1;0
1614330;UOF_Gueifães;N;1;0
1614331;Gueifães_UOF;N;1;0
1614746;UON_Candal;Y;1;0
1614747;Candal_UON;Y;1;0
1614366;UOF_Freixo;N;1;0
1614367;UOF_Parque Nascente;N;1;0
1614368;Parque Nascente_UOF;N;1;0
1614369;UOF_Campo;N;1;0
1614386;404_Bolhão Mercado_Estadio do Dragão;N;0;0
1614387;404_Estadio do Dragão_Bolhão Mercado;N;0;0
1614406;8M_Aliados_Chão Verde;N;0;0
1614407;8M_Chão Verde_Aliados;N;0;0
1614408;Chão Verde_UOF;N;1;0
1614426;8M_Aliados_Rio Tinto Igreja;N;0;0
1614427;8M_Rio Tinto Igreja_Aliados;N;0;0
1614446;800_Est.Dragão_Gondomar;N;0;0
1614447;800_Gondomar_Est.Dragão;N;0;0
1614448;801_Est.Dragão_S.P.Cova;N;0;0
1614449;801_S.Pedro Cova_Est.Dragão;N;0;0
1614466;800_Bolhão Mercado-Gondomar;N;0;0
1614467;800_Gondomar-Bolhão Mercado;N;0;0
1614748;UON_Cabine;Y;1;0
1614749;Cabine_UON;Y;1;0
1614470;801_Cordoaria-S.PedroCova;N;0;0
1614471;801_S.Pedro Cova-Cordoaria;N;0;0
1614506;506_Matosinhos_Hospital de S.Joao;N;0;0
1614875;903_Candal_Vilar do Paraiso;N;0;0
1615071;907_Coimbroes_Bom sucesso;N;0;0
1615150;108_Matosinhos Mercado_C.Queijo;N;0;0
1614526;901_Trindade_Valadares;N;0;0
1614527;901_Valadares_Trindade;N;0;0
1614528;901_Candal_Valadares;N;0;0
1614529;906_Trindade_Madalena;N;0;0
1614530;906_Madalena_Trindade;N;0;0
1615133;MATM_PCSV;N;0;0
1615134;108_Pr.CidadeSalvador_Matosinhos Mercado;N;0;0
1614548;803/_H.S.Joao_Rio Tinto;N;0;0
1614549;803/_Bom Sucesso_Rio Tinto;N;0;0
1614550;803/_Rio Tinto_Bom Sucesso;N;0;0
1614566;1M_Aliados_Matosinhos Praia;N;0;0
1614567;1M_Matosinhos Praia_Aliados;N;0;0
1614586;104_Bom Sucesso_Massarelos;N;0;0
1614606;202_Aliados_Passeio Alegre;N;0;0
1614607;202_Passeio Alegre_Aliados;N;0;0
1614608;501_Aliados_Matosinhos;N;0;0
1614609;501_Matosinhos_Aliados;N;0;0
1614626;202_Aliados_Ramalde;N;0;0
1614627;202_Ramalde_Aliados;N;0;0
1614750;UON_Valadares;Y;1;0
1614751;Valadares_UON;Y;1;0
1614799;604/_H.S.Joao_Aeroporto;N;0;0
1614800;604/_Aeroporto_H.S.Joao;N;0;0
1615135;108_Matosinhos Mercado_Pr.CidadeSalvador;N;0;0
1615151;108_C.Queijo_Matosinhos Mercado;N;0;0
1615152;108_C.Queijo_C.Queijo;N;0;0
1615153;CQ_CQ;N;0;0
1615154;Aliados_Bolhão;N;0;0
1615450;200_Praça Cidade do Salvador_Cordoaria;N;0;0
1615231;910_Cordoaria_S.Bento;N;0;0
1615232;910_S.Bento_Cordoaria;N;0;0
1615451;200_Cordoaria__Praça Cidade do Salvador;N;0;0
1615452;200_Cordoaria_Praça Cidade do Salvador;N;0;0
1615453;10M_Gaia-Camara_Vila d'Este;N;0;0
1615454;10M_Vila d'Este_Gaia-Camara;N;0;0
1615553;68_Aliados_Queimodromo;N;0;0
1614986;200_Bolhão_Praça Cidade do Salvador;N;0;0
1614987;200_Praça Cidade do Salvador_Bolhão;N;0;0
1615050;703_Cordoaria_Ermesinde;N;0;0
1615051;703_Ermesinde_Cordoaria;N;0;0
1615110;500_Castelo do Queijo_Matosinhos;N;0;0
1615111;500_Matosinhos_Castelo do Queijo;N;0;0
1615470;UON_Matosinhos-Praia;N;1;1
1615471;Matosinhos-Praia_UON;N;1;1
1615472;UON_B.Francos;N;1;1
1614792;UON_Maia-Zoo;Y;1;0
1614793;Maia-Zoo_UON;Y;1;0
1614794;900_Cordoaria_Sto.Ovideo;N;0;0
1614795;900_Sto.Ovideo_Cordoaria;N;0;0
1614826;UON_Amial;Y;1;0
1614827;Amial_UON;Y;1;0
1614828;UON_Maia;Y;1;0
1614829;Maia_UON;Y;1;0
1615130;108_Pr Cidade Salvador_PrCidade Salvador;N;0;0
1615131;PCSV_PCSV;N;0;0
1615310;300_Carvalhido_C24Agosto;N;0;0
1615350;150_Boavista_Pr.Imperio;N;0;0
1612826;Apagar_2;N;0;0
1612827;Apagar_5;N;0;0
1612828;Apagar_3;N;0;0
1612829;Apagar_1;N;0;0
1613106;Rio Tinto (Igreja)_UOF;N;1;0
179713;UOF_Esposade;Y;1;0
1611784;500_Infante_Matosinhos;N;0;0
1611785;500_Matosinhos_Infante;N;0;0
173668;99_Praca_Cordoaria;N;0;0
173669;99_Cordoaria_Praca;N;0;0
176190;UON_Travagem;Y;1;0
176191;Travagem_UON;Y;1;0
177990;UOF_Marques;Y;1;0
177991;Marques_UOF;Y;1;0
178010;604_Maia_Hospital de S.Joao;N;0;0
178011;UOF_Maia Forum;Y;1;0
1613566;508_Bom Sucesso_Esposade;N;0;0
1613567;508_Esposade_Bom Sucesso;N;0;0
1613646;601_Boavista_Marshopping;N;0;0
1613647;601_Marshopping_Boavista;N;0;0
174776;601_Boavista_Cordoaria;N;0;0
174777;601_Cordoaria_Boavista;N;0;0
174790;UOF_MaiaZoo;Y;1;0
174791;MaiaZoo_UOF;Y;1;0
1612026;501_Bairro de Francos_Aliados;N;0;0
179290;67_Areosa_Queimodromo;N;0;0
178291;67_Queimodromo_Hospital de S.Joao;N;0;0
174416;UOF_Bairro de Francos;Y;1;0
174417;Bairro de Francos_UOF;Y;1;0
174418;UOF_Aldoar;Y;1;0
174419;Aldoar_UOF;Y;1;0
175330;703_Cordoaria_Sonhos;N;0;0
175331;703_Sonhos_Cordoaria;N;0;0
175950;UON_S.Pedro da Cova;Y;1;0
175951;UON_Gondomar;Y;1;0
176092;501_Boavista_Matosinhos;N;0;0
176093;501_Matosinhos_Boavista;N;0;0
176210;UON_Carvalha;Y;1;0
176211;Carvalha_UON;Y;1;0
177191;UOF_Carvalhido;Y;1;0
178292;UOF_Queimodromo;Y;1;0
178293;Queimodromo_UOF;Y;1;0
1614106;UOF_P.Alegre;N;1;0
173608;UOF_Bolhao;N;1;0
176410;UON_Matosinhos Mercado;Y;1;0
176411;Matosinhos Mercado_UON;Y;1;0
177890;206_Campanha_Viso;N;0;0
177891;206_Campanha_Bairro Santo Eugenio;N;0;0
177270;UON_Estadio do Dragao;Y;1;0
177271;Estadio do Dragao_UON;Y;1;0
175210;Codiceira_UOF;Y;1;0
177970;UOF_Maia;Y;1;0
177971;Maia_UOF;Y;1;0
177972;UOF_Vale Formoso;Y;1;0
179591;301_Santa Luzia_Hospital de S.Joao;N;0;0
174070;502_Bolhao_Casa da Musica;N;0;0
179170;35_Estadio do Dragao_Matosinhos;N;0;0
174390;603_Hospital de S.Joao_MaiaZoo;N;0;0
179171;35_Matosinhos_Estadio do Dragao;N;0;0
179172;UOF_Matosinhos;Y;1;0
179173;Matosinhos_UOF;Y;1;0
177470;Esposade_UOF;Y;1;0
