ID;NAME;START_STOP;END_STOP;VISIBLE;LENGTH
14032;FZIN2_RBSS2;17220;15309;Y;670
14033;RBSS2_SDP2;15309;15613;Y;280
10985;RCRT1_LGO5;15342;16347;Y;490
10988;CTS_MLAM;13874;14852;Y;320
10989;MLAM_PREL4;14852;15102;Y;390
10993;PCT3_PCTV1;17406;17412;Y;370
10994;PCTV1_PDV1;17412;17450;Y;350
10995;PDV2_PCTV2;17451;17413;Y;360
10996;PCTV2_PCT4;17413;17407;Y;390
11006;CQ10_TIM2;13751;15860;Y;300
11049;PRDR1_SLZ3;15092;15646;Y;330
11075;GODS_MTCR2;14180;14956;Y;330
11076;BVG2_25A2;13453;16710;Y;240
11077;MTCR1_GODS;14955;14180;Y;380
11111;ISEP1_IB3;14342;14291;Y;350
12120;MCBL_PRDJ1;14805;15090;Y;160
12137;JAZ1_SETB1;14362;15621;Y;380
12138;CIRC5_JAZ2;13590;14363;Y;280
12140;IPO4_HSJ11;14333;14260;Y;370
12273;SDMC2_SER2;15607;15619;Y;470
12274;GOA1_PQBT3;14168;15068;Y;330
12275;PQBT3_MATC2;15068;14779;Y;200
12316;CRG2_AST2;13768;13196;Y;260
12318;GODH6_MTSP4;14176;17237;Y;290
12319;MTSP4_ACD4;17237;12920;Y;320
12323;GOA2_HMT2;14169;14247;Y;230
12324;HMT2_SER1;14247;15618;Y;200
12325;SER1_SDMC1;15618;15606;Y;450
12326;SDMC1_SRL1;15606;15726;Y;450
12330;LND2_QCM4;16375;15222;Y;180
12331;QCM4_RNSG1;15222;15463;Y;370
12332;RNSG1_AP1;15463;13105;Y;260
12333;AP1_STA1;13105;15758;Y;360
12334;STA1_FGTR1;15758;17060;Y;370
12335;FGTR1_PLG4;17060;14997;Y;300
12336;PLG4_CSX1;14997;13859;Y;450
12337;CSX1_VN1;13859;16073;Y;260
12338;VN1_PCT3;16073;17406;Y;310
12340;PDV1_GFR1;17450;14139;Y;370
12341;GFR1_SMM6;14139;15666;Y;270
12342;SMM6_LARJ1;15666;16284;Y;370
12343;AVLM2_PML3;13225;15027;Y;510
12344;PML3_HANG2;15027;14218;Y;250
12355;HANG1_PML1;14217;15025;Y;310
12356;LARJ2_SMM5;16285;15665;Y;460
12357;SMM5_GFR2;15665;14140;Y;240
12358;GFR2_PDV2;14140;17451;Y;280
12360;PCT4_VN2;17407;16074;Y;320
12361;VN2_CSX2;16074;13860;Y;300
12362;CSX2_PLG3;13860;14996;Y;230
12363;PLG3_FGTR2;14996;17061;Y;470
12364;FGTR2_STA2;17061;15759;Y;350
12365;STA2_AP2;15759;13106;Y;390
12366;AP2_RNSG2;13106;15464;Y;170
12367;RNSG2_QCM3;15464;15221;Y;430
12368;QCM3_LND1;15221;16374;Y;240
12372;SRL2_SDMC2;15727;15607;Y;410
12373;4CAM4_FND1;12846;17102;Y;380
12375;FMGC2_QCH1;17095;15217;Y;240
12376;QCH1_SA3;15217;15528;Y;330
12377;ERM3_CRZ2;14089;13813;Y;360
12378;PVH1_PML1;15213;15025;Y;350
12379;AM4_LVDR2;13073;14727;Y;440
12381;AS2_FMGO4;13180;17100;Y;280
12382;FMGO4_GGC1;17100;14141;Y;190
12383;PRD1_LNC2;15086;16373;Y;510
12384;LARJ2_SMM3;16285;15663;Y;460
12385;BLG1_AML2;13325;13078;Y;390
12386;IPO4_HSJ12;14333;14261;Y;300
12387;OG1_RCT1;17298;15346;Y;230
12388;RCT1_AR1;15346;13122;Y;340
12389;AR1_LARJ2;13122;16285;Y;260
12390;LARJ1_AR2;16284;13123;Y;260
12391;AR2_RCT2;13123;15347;Y;340
12392;RCT2_OG2;15347;17299;Y;230
12393;OG2_DRB2;17299;13997;Y;210
12394;DRB2_ISCP2;13997;14341;Y;260
12395;ISCP2_CVD2;14341;13900;Y;190
12401;AML3_AZ;13079;13230;Y;280
12402;AST1_CRG1;13195;13767;Y;300
12403;CRG1_LVDR1;13767;14726;Y;460
12404;AM3_AVLM2;13072;13225;Y;370
