ID;CODE;COLOR;DEPOTS;SCHEDULE_ID
3964253;2;1615797;0;12173313
3979132;2;16525383;0;12181026
3978911;16;16525383;0;12180941
3979133;3;11331054;0;12181026
3979134;4;16570741;0;12181026
3979135;5;7229792;0;12181026
3979539;1;14886251;0;12181140
3979540;2;3911823;0;12181140
3979541;3;11725917;0;12181140
3971859;2;15715768;0;12178683
3979542;4;7920610;0;12181140
3979543;5;15116503;0;12181140
3969658;2;14886251;0;12177820
3979650;1;16777062;0;12181171
3979651;2;2061822;0;12181171
3979652;3;14592648;0;12181171
3979796;1;16208788;0;12181221
3969659;3;7619272;0;12177820
3979797;2;13320532;0;12181221
3979798;3;11068576;0;12181221
3979799;4;6125259;0;12181221
3971860;3;8444651;0;12178683
3971861;4;12600463;0;12178683
3971862;5;14521461;0;12178683
3980124;1;16741688;0;12181527
3971863;6;7229792;0;12178683
3972510;1;13395558;0;12178981
3972511;2;7229792;0;12178981
3980125;2;16764843;0;12181527
3972512;3;1409144;0;12178981
3980126;3;16426860;0;12181527
3980127;4;16636341;0;12181527
3980128;5;10478271;0;12181527
3972513;4;7855591;0;12178981
3980129;6;7562941;0;12181527
3972519;7;16741688;0;12178981
3980130;7;16744265;0;12181527
3980131;8;2845892;0;12181527
3980132;9;9075037;0;12181527
3980133;10;16545021;0;12181527
3925441;1;13619151;0;12123337
3925443;2;14474296;0;12123337
3925445;3;9815282;0;12123337
3925447;4;12935621;0;12123337
3925449;5;7009010;0;12123337
3972520;8;13485506;0;12178981
3981611;4;16711202;0;12182856
3972565;1;12344664;0;12178987
3972566;2;1139892;0;12178987
3972567;3;16774223;0;12178987
3972568;4;14572931;0;12178987
3981612;5;16550316;0;12182856
3981613;6;16722731;0;12182856
3972569;5;16666330;0;12178987
3972653;1;15;0;12179001
3972654;1;10592673;0;12179002
3972655;1;572090;0;12179003
3972656;1;15;0;12179004
3961453;1;14886251;0;12170949
3961454;2;13565725;0;12170949
3961455;3;1409144;0;12170949
3981614;7;1139892;0;12182856
3981615;8;1540205;0;12182856
3981616;9;14501010;0;12182856
3982312;20;16760025;0;12183011
3983934;1;9392285;0;12183719
3983752;1;16741688;0;12183598
3983753;2;16666330;0;12183598
3983754;3;7453816;0;12183598
3983755;4;16711202;0;12183598
3983935;2;15526590;0;12183719
3982368;7;16777090;0;12183022
3982302;1;1540205;0;12183011
3982303;2;10661328;0;12183011
3982304;3;14572931;0;12183011
3982305;4;16756290;0;12183011
3982306;5;16741688;0;12183011
3972514;5;14060121;0;12178981
3982307;6;14060121;0;12183011
3982308;7;16764744;0;12183011
3982309;8;1615797;0;12183011
3982310;9;14501010;0;12183011
3982311;10;16636341;0;12183011
3983466;1;16777062;0;12183434
3983467;2;2061822;0;12183434
3983468;3;14592648;0;12183434
3972515;6;16753780;0;12178981
3962204;1;9392285;0;12171591
3962205;2;11725917;0;12171591
3962206;3;7920610;0;12171591
3962207;4;14886251;0;12171591
3962585;1;12968836;0;12171868
3972663;1;15132311;0;12179008
3972664;1;16177368;0;12179009
3962586;2;16666330;0;12171868
3972665;1;13092807;0;12179010
3972874;1;7798650;0;12179067
3972875;2;1139892;0;12179067
3972876;3;13252455;0;12179067
3972877;4;16777062;0;12179067
3972878;5;1889186;0;12179067
3969777;1;13485506;0;12177893
3969778;2;16550316;0;12177893
3969779;3;7619272;0;12177893
3969780;4;14592648;0;12177893
3969781;5;13395558;0;12177893
3970338;1;13473141;0;12178163
3970339;2;15452127;0;12178163
3970340;3;16666330;0;12178163
3970341;4;2084555;0;12178163
3970342;5;15526590;0;12178163
3970343;6;16426860;0;12178163
3970344;7;13320532;0;12178163
3972879;6;15116503;0;12179067
3972893;1;14886251;0;12179069
3972894;2;3911823;0;12179069
3961833;1;15605837;0;12171189
3961834;2;11331054;0;12171189
