ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
14006;DEVESAS;DEVESAS;41,12583;-8,618023;T;Y;Y;DV2
14007;DEVESAS (ESTAÇÃO);DEVESAS (ESTAÇÃO);41,12902;-8,619705;T;Y;Y;DVE1
14016;ELECTROCERÂMICA;ELECTROCERÂMICA;41,1368;-8,629857;T;Y;Y;EC
15453;R. DAS MATAS;R. DAS MATAS;41,12077;-8,63336;T;Y;Y;RMT2
16737;JARDIM DO MORRO;JARDIM DO MORRO;41,13604;-8,608236;T;Y;Y;JMRR2
15343;R.CRASTO;R.CRASTO;41,16179;-8,671224;T;Y;Y;RCRT2
15342;R.CRASTO;R.CRASTO;41,16184;-8,671697;T;Y;Y;RCRT1
13733;CAMPO LINDO;CAMPO LINDO;41,16806;-8,610489;T;Y;Y;CPL
15810;SILVA TAPADA;SILVA TAPADA;41,16752;-8,593277;T;Y;Y;SVT4
16022;VALE FORMOSO;VALE FORMOSO;41,16644;-8,612729;T;Y;Y;VFM3
16020;VALE FORMOSO;VALE FORMOSO;41,16571;-8,610835;T;Y;Y;VFM1
14259;HOSP. S. JOÃO;HOSP. S. JOÃO;41,18306;-8,599792;T;Y;Y;HSJ10
15684;SERPA PINTO;SERPA PINTO;41,16323;-8,620871;T;Y;Y;SP
14265;HOSP. S. JOÃO;HOSP. S. JOÃO;41,18325;-8,600566;T;Y;Y;HSJ3
14331;INST. ONCOLOGIA;INST. ONCOLOGIA;41,18272;-8,604065;T;Y;Y;IPO2
13694;CONSTITUIÇÃO;CONSTITUIÇÃO;41,16314;-8,609043;T;Y;Y;CONS2
13364;BR.CARVALHIDO;BR.CARVALHIDO;41,16909;-8,622798;T;Y;Y;BRCV
13458;BICA VELHA;BICA VELHA;41,16747;-8,62071;T;Y;Y;BVLH3
13161;AREOSA;AREOSA;41,18076;-8,582763;T;Y;Y;ARS8
12861;ALTO DA AREOSA;ALTO DA AREOSA;41,179;-8,583899;T;Y;Y;AA1
13188;ASPRELA;ASPRELA;41,18455;-8,604717;T;Y;Y;ASPL1
13589;CINTURA INTERNA;CINTURA INTERNA;41,17363;-8,613235;T;Y;Y;CI32
13306;BENTO JÚNIOR;BENTO JÚNIOR;41,16539;-8,603218;T;Y;Y;BJ1
13693;CONSTITUIÇÃO;CONSTITUIÇÃO;41,16383;-8,606313;T;Y;Y;CONS1
13553;CONDE FERREIRA;CONDE FERREIRA;41,1695;-8,589539;T;Y;Y;CF1
13554;CONDE FERREIRA;CONDE FERREIRA;41,16999;-8,589284;T;Y;Y;CF2
12862;ALTO DA AREOSA;ALTO DA AREOSA;41,1787;-8,58421;T;Y;Y;AA2
17320;OUTEIRO;OUTEIRO;41,17105;-8,597542;T;Y;Y;OUTE3
17321;OUTEIRO;OUTEIRO;41,17125;-8,597793;T;Y;Y;OUTE4
15337;R. CONTUMIL;R. CONTUMIL;41,16957;-8,58708;T;Y;Y;RCON
15416;RODRIGUES SEMIDE;RODRIGUES SEMIDE;41,17735;-8,583146;T;Y;Y;RGSM2
14070;ENXURREIRAS;ENXURREIRAS;41,17961;-8,588058;T;Y;Y;ENX1
13079;AMIAL;AMIAL;41,18356;-8,612348;T;Y;Y;AML3
13078;AMIAL;AMIAL;41,18324;-8,612777;T;Y;Y;AML2
14260;H.S.JOÃO;H.S.JOÃO;41,18273;-8,600613;T;Y;Y;HSJ11
14261;H.S.JOÃO;H.S.JOÃO;41,18291;-8,601112;T;Y;Y;HSJ12
15785;STA. JUSTA;STA. JUSTA;41,17397;-8,584863;T;Y;Y;STJ4
15874;TELHEIRA;TELHEIRA;41,17719;-8,614208;T;Y;Y;TLHR2
13186;ASPRELA;ASPRELA;41,18168;-8,595448;T;Y;Y;ASP3
14334;IPO(CIRCUNVALAÇÃO);IPO(CIRCUNVALAÇÃO);41,18437;-8,605447;T;Y;Y;IPO5
15808;SILVA TAPADA;SILVA TAPADA;41,16679;-8,593952;T;Y;Y;SVT2
14290;ILHA BRAVA;ILHA BRAVA;41,18159;-8,609499;T;Y;Y;IB2
14291;ILHA BRAVA;ILHA BRAVA;41,18178;-8,609303;T;Y;Y;IB3
14333;IPO (CIRCUNVAL.);IPO (CIRCUNVAL.);41,18396;-8,604351;T;Y;Y;IPO4
13155;AREOSA;AREOSA;41,18042;-8,583433;T;Y;Y;ARS2
13156;AREOSA;AREOSA;41,18055;-8,583588;T;Y;Y;ARS3
15001;PIRES DE LIMA;PIRES DE LIMA;41,16623;-8,597244;T;Y;Y;PLIM2
13218;AVAL CIMA;AVAL CIMA;41,16819;-8,603535;T;Y;Y;AVC2
13228;ALMEIDA VALENTE;ALMEIDA VALENTE;41,17671;-8,611356;T;Y;Y;AVTE1
13229;ALMEIDA VALENTE;ALMEIDA VALENTE;41,17682;-8,611539;T;Y;Y;AVTE2
13910;COVELO;COVELO;41,1666;-8,6074;T;Y;Y;CVLO
14342;I.S.E.P.;I.S.E.P.;41,17857;-8,609157;T;Y;Y;ISEP1
14343;I.S.E.P.;I.S.E.P.;41,1783;-8,609331;T;Y;Y;ISEP2
13325;BERLENGAS;BERLENGAS;41,18015;-8,61373;T;Y;Y;BLG1
13326;BERLENGAS;BERLENGAS;41,17952;-8,613977;T;Y;Y;BLG2
13349;BR.DO AMIAL;BR.DO AMIAL;41,17645;-8,62009;T;Y;Y;BRA1
13837;C. SAÚDE PARANHOS;C. SAÚDE PARANHOS;41,16884;-8,612383;T;Y;Y;CSP1
15966;UNIV. F. PESSOA;UNIV. F. PESSOA;41,17254;-8,609046;T;Y;Y;UFP1
13695;CONSTITUIÇÃO;CONSTITUIÇÃO;41,16347;-8,610963;T;Y;Y;CONS3
13691;COMBATENTES;COMBATENTES;41,1646;-8,600718;T;Y;Y;COMB2
15532;SALGUEIROS;SALGUEIROS;41,16987;-8,599338;T;Y;Y;SAL2
13586;CINTURA INTERNA;CINTURA INTERNA;41,17271;-8,626294;T;Y;Y;CI21
13588;CINTURA INTERNA;CINTURA INTERNA;41,17388;-8,613121;T;Y;Y;CI31
16328;LGO.CAMPO LINDO;LGO.CAMPO LINDO;41,1699;-8,607814;T;Y;Y;LGCL1
13743;CAPELA SRA.FÁTIMA;CAPELA SRA.FÁTIMA;41,175;-8,618878;T;Y;Y;CPSF2
13749;CAPUCHINHOS;CAPUCHINHOS;41,18275;-8,617726;T;Y;Y;CPU2
13064;ALMEIDA VALENTE;ALMEIDA VALENTE;41,17511;-8,609491;T;Y;Y;ALVT2
13077;AMIAL;AMIAL;41,1825;-8,613442;T;Y;Y;AML1
13080;AMIAL;AMIAL;41,18407;-8,613423;T;Y;Y;AML4
14344;ISEP/AGRA;ISEP/AGRA;41,17661;-8,607919;T;Y;Y;ISEP3
15422;R. IGREJA;R. IGREJA;41,22038;-8,557635;T;Y;Y;RIGR2
14376;JOÃO DE DEUS;JOÃO DE DEUS;41,20925;-8,555762;T;Y;Y;JDEU4
15405;RODRIGUES FREITAS;RODRIGUES FREITAS;41,22199;-8,557775;T;Y;Y;RGFT2
15539;SAMPAIO;SAMPAIO;41,22964;-8,560179;T;Y;Y;SAMP1
15563;SAIBREIRAS;SAIBREIRAS;41,21104;-8,560915;T;Y;Y;SBR2
15181;PORTO CARREIRO;PORTO CARREIRO;41,21094;-8,5571;T;Y;Y;PTCR1
13813;CRUZEIRO;CRUZEIRO;41,21325;-8,554431;T;Y;Y;CRZ2
12857;9 DE AGOSTO;9 DE AGOSTO;41,21147;-8,532059;T;Y;Y;9AG1
13812;CRUZEIRO;CRUZEIRO;41,21341;-8,554165;T;Y;Y;CRZ1
13565;CALOUST GULBENKIAN;CALOUST GULBENKIAN;41,2104;-8,562757;T;Y;Y;CGK1
15562;SAIBREIRAS;SAIBREIRAS;41,2111;-8,560487;T;Y;Y;SBR1
17226;GANDRA;GANDRA;41,21537;-8,559844;T;Y;Y;GAN2
14087;ERMESINDE;ERMESINDE;41,21692;-8,553053;T;Y;Y;ERM1
14088;ERMESINDE (ESTAÇÃO);ERMESINDE (ESTAÇÃO);41,21683;-8,553816;T;Y;Y;ERM2
14089;ERMESINDE (ESTAÇÃO);ERMESINDE (ESTAÇÃO);41,21714;-8,553897;T;Y;Y;ERM3
17090;FORMIGA;FORMIGA;41,20584;-8,542576;T;Y;Y;FMGA1
15213;PAVILHÃO CPN;PAVILHÃO CPN;41,20743;-8,556003;T;Y;Y;PVH1
15182;PORTO CARREIRO;PORTO CARREIRO;41,21111;-8,557244;T;Y;Y;PTCR2
15951;TRAVAGEM;TRAVAGEM;41,22663;-8,554139;T;Y;Y;TVG1
14938;MAIASHOPPING;MAIASHOPPING;41,21917;-8,558698;T;Y;Y;MSHP3
15528;SÁ;SÁ;41,21122;-8,547076;T;Y;Y;SA3
15529;SÁ;SÁ;41,21097;-8,547048;T;Y;Y;SA4
17094;FORMIGA CEMITÉRIO;FORMIGA CEMITÉRIO;41,20969;-8,542188;T;Y;Y;FMGC1
13724;COVINA;COVINA;41,20974;-8,531203;T;Y;Y;COVN2
13205;ALBERTO TABORDA;ALBERTO TABORDA;41,2116;-8,552105;T;Y;Y;ATB2
13345;BOM PASTOR;BOM PASTOR;41,20746;-8,551477;T;Y;Y;BPT1
13346;BOM PASTOR;BOM PASTOR;41,20736;-8,551614;T;Y;Y;BPT2
13814;CRUZEIRO;CRUZEIRO;41,21361;-8,553613;T;Y;Y;CRZ3
13815;CRUZEIRO;CRUZEIRO;41,21354;-8,553723;T;Y;Y;CRZ4
12846;4 CAMINHOS;4 CAMINHOS;41,20599;-8,528748;T;Y;Y;4CAM4
14939;MAIASHOPPING;MAIASHOPPING;41,21944;-8,558891;T;Y;Y;MSHP4
17103;FUNDIÇÃO;FUNDIÇÃO;41,209;-8,529793;T;Y;Y;FND2
17091;FORMIGA;FORMIGA;41,2057;-8,542394;T;Y;Y;FMGA2
13572;CHÃOS;CHÃOS;41,2103;-8,538247;T;Y;Y;CHAO2
13571;CHÃOS;CHÃOS;41,21021;-8,538205;T;Y;Y;CHAO1
17479;PEDRO HISPANO;PEDRO HISPANO;41,22836;-8,562908;T;Y;Y;PHIP2
15214;PAVILHÃO CPN;PAVILHÃO CPN;41,20757;-8,55578;T;Y;Y;PVH2
14217;HERÓIS DE ANGOLA;HERÓIS DE ANGOLA;41,20467;-8,55275;T;Y;Y;HANG1
17274;NORTON MATOS;NORTON MATOS;41,20645;-8,55055;T;Y;Y;NM1
17275;NORTON MATOS;NORTON MATOS;41,20636;-8,551382;T;Y;Y;NM2
13624;CAMÉLIAS;CAMÉLIAS;41,2174;-8,558895;T;Y;Y;CML2
17494;PINHEIRO;PINHEIRO;41,21927;-8,543154;T;Y;Y;PINH1
15988;VASCO DA GAMA;VASCO DA GAMA;41,21641;-8,551347;T;Y;Y;VASG1
17225;GANDRA;GANDRA;41,21566;-8,5594;T;Y;Y;GAN1
15025;PALMILHEIRA;PALMILHEIRA;41,20473;-8,556292;T;Y;Y;PML1
15027;PALMILHEIRA;PALMILHEIRA;41,20447;-8,555539;T;Y;Y;PML3
13623;CAMÉLIAS;CAMÉLIAS;41,21708;-8,558687;T;Y;Y;CML1
12858;9 DE AGOSTO;9 DE AGOSTO;41,21192;-8,5322;T;Y;Y;9AG2
13204;ALBERTO TABORDA;ALBERTO TABORDA;41,21167;-8,55191;T;Y;Y;ATB1
15680;SONHOS;SONHOS;41,21663;-8,541528;T;Y;Y;SONH
14095;ERMESINDE (IGREJA);ERMESINDE (IGREJA);41,21941;-8,553269;T;Y;Y;ERMI1
15798;SOUTINHO;SOUTINHO;41,22202;-8,543257;T;Y;Y;STNH2
12946;ALDEIA NOVA;ALDEIA NOVA;41,22956;-8,527703;T;Y;Y;ADNV1
13683;LGO DA CODICEIRA;LGO DA CODICEIRA;41,24463;-8,519832;T;Y;Y;COD
15825;TAPADA AZEVEDO;TAPADA AZEVEDO;41,20219;-8,526966;T;Y;Y;TAZ1
