ID;PATH_VERSION_ID;STOP_ID;ZONE_ID
64901;1023328;1488;2
64902;1023328;1443;2
64903;1023328;1441;2
64904;1023328;1437;2
64905;1023328;1435;2
64906;1023328;1459;2
64907;1023328;1422;2
64908;1023328;1424;2
64909;1023328;1426;2
75740;4008141;106;2
75741;4008141;108;2
75742;4008141;110;2
75743;4008141;819;2
75744;4008141;814;2
75745;4008141;807;2
64910;1023328;1428;2
64911;1023328;1446;2
64912;1023328;1444;2
64913;1023328;1442;2
64914;1023328;491;2
64915;1023328;489;2
64916;1023328;490;2
64917;1023328;513;2
64918;1023328;506;2
64919;1023328;486;2
64920;1023328;502;2
64921;1023328;484;2
64922;1023328;141;2
64923;1023328;137;2
64924;1023328;136;2
18721;1025478;1858;2
18722;1025478;1579;2
18723;1025478;1581;2
18724;1025478;1583;2
18725;1025478;1585;2
18726;1025478;1649;2
18727;1025478;2222;2
18728;1025478;83;2
18729;1025478;85;2
18730;1025478;87;2
18731;1025478;89;2
18732;1025478;91;2
18733;1025478;92;2
18734;1025478;1367;2
18735;1025478;1363;2
18736;1025478;648;2
18737;1025478;650;2
18738;1025478;652;2
18739;1025478;658;2
18740;1025478;660;2
18741;1025478;653;2
18742;1025478;752;2
18743;1025478;2531;2
18744;1025476;1858;2
18745;1025476;1579;2
18746;1025476;1581;2
18747;1025476;1583;2
18748;1025476;1585;2
18749;1025476;1649;2
18750;1025476;2222;2
18751;1025476;83;2
18752;1025476;85;2
18753;1025476;87;2
18754;1025476;89;2
18755;1025476;91;2
18756;1025476;92;2
18757;1025476;1367;2
18758;1025476;1363;2
18759;1025476;648;2
18760;1025476;650;2
18761;1025476;652;2
18762;1025476;658;2
18763;1025476;660;2
18764;1025476;653;2
18765;1025476;752;2
18766;1025476;754;2
18767;1025476;2107;2
18768;1025476;2104;2
18769;1025476;2102;2
18770;1025476;1478;2
18771;1025476;1641;2
18772;1025476;1639;2
18773;1025476;1637;2
18774;1025476;1839;2
18775;1025476;1840;2
18776;1025477;2531;2
18777;1025477;753;2
18778;1025477;653;2
18779;1025477;661;2
18780;1025477;659;2
18781;1025477;662;2
18782;1025477;651;2
18783;1025477;649;2
18784;1025477;1366;2
18785;1025477;90;2
18786;1025477;88;2
18787;1025477;86;2
18788;1025477;84;2
18789;1025477;82;2
18790;1025477;2224;2
18791;1025477;2223;2
18792;1025477;1586;2
18793;1025477;1584;2
18794;1025477;1582;2
18795;1025477;1580;2
18796;1025477;1858;2
18797;1025493;2531;2
18798;1025493;753;2
18799;1025493;653;2
18800;1025493;661;2
18801;1025493;659;2
18802;1025493;662;2
18803;1025493;651;2
18804;1025493;649;2
18805;1025493;1366;2
18806;1025493;90;2
18807;1025493;88;2
18808;1025493;86;2
18809;1025493;84;2
18810;1025493;82;2
18811;1025493;2224;2
18812;1025493;2223;2
18813;1025493;1586;2
18814;1025493;1584;2
18815;1025493;1582;2
18816;1025493;1580;2
18817;1025493;1855;2
18818;1025493;1853;2
18819;1025493;1850;2
18820;1025493;1814;2
18821;1025493;1831;2
18822;1025493;1830;2
64821;4007120;1284;1
64822;4007120;1282;1
64823;4007120;1282;2
64824;4007120;1278;1
64825;4007120;764;1
64826;4007120;762;1
64827;4007120;760;1
64828;4007120;758;1
64829;4007120;1289;1
64830;4007120;1291;1
64831;4007120;1292;1
64832;4007120;4001112;1
64833;4007121;1288;1
64834;4007121;1293;1
64835;4007121;1290;1
64836;4007121;757;1
64837;4007121;759;1
64838;4007121;761;1
64839;4007121;763;1
64840;4007121;1285;1
64841;4007121;1281;1
64842;4007121;1283;1
64843;4007121;1283;2
64844;4007121;1284;1
65521;4001245;1891;2
65522;4001245;1886;2
65523;4001245;1884;2
65524;4001245;1882;2
65525;4001245;1904;2
18852;1025473;1865;2
18853;1025473;1838;2
18854;1025473;1638;2
18855;1025473;1640;2
18856;1025473;1642;2
18857;1025473;2103;2
18858;1025473;2105;2
18859;1025473;2108;2
18860;1025473;755;2
18861;1025473;753;2
18862;1025473;653;2
18863;1025473;661;2
18864;1025473;659;2
18865;1025473;662;2
18866;1025473;651;2
18867;1025473;649;2
18868;1025473;1366;2
18869;1025473;90;2
18870;1025473;88;2
18871;1025473;86;2
18872;1025473;84;2
18873;1025473;82;2
18874;1025473;2224;2
18875;1025473;2223;2
18876;1025473;1586;2
18877;1025473;1584;2
18878;1025473;1582;2
18879;1025473;1580;2
18880;1025473;1855;2
18881;1025473;1853;2
18882;1025473;1850;2
18883;1025473;1814;2
18884;1025473;1831;2
18885;1025473;1830;2
18886;1025494;1830;2
18887;1025494;1832;2
18888;1025494;1813;2
18889;1025494;1849;2
18890;1025494;1851;2
18891;1025494;1854;2
18892;1025494;1579;2
18893;1025494;1581;2
18894;1025494;1583;2
18895;1025494;1585;2
18896;1025494;1649;2
18897;1025494;2222;2
18898;1025494;83;2
18899;1025494;85;2
18900;1025494;87;2
18901;1025494;89;2
18902;1025494;91;2
18903;1025494;92;2
18904;1025494;1367;2
18905;1025494;1363;2
18906;1025494;648;2
18907;1025494;650;2
18908;1025494;652;2
18909;1025494;658;2
18910;1025494;660;2
18911;1025494;653;2
18912;1025494;752;2
18913;1025494;2531;2
65526;4001245;1874;2
65527;4001245;1872;2
65528;4001245;2205;2
65529;4001245;2203;2
65530;4001245;2201;2
45646;1025474;1830;2
45647;1025474;1854;2
45648;1025474;1226;2
45649;1025474;1822;2
65531;4001245;2199;2
65532;4001245;289;2
65533;4001245;287;2
65534;4001245;1632;2
65535;4001245;1630;2
65536;4001245;1330;2
65537;4001245;1338;2
65538;4001245;1343;2
65539;4001245;218;2
65540;4001245;211;2
65541;4001245;212;2
65542;4001245;219;2
65543;4001245;871;2
65544;4001245;691;2
65545;4001245;714;2
65546;4001245;687;2
65547;4001245;1525;2
65548;4001245;1523;2
65549;4001245;1521;2
65550;4001245;1950;2
65551;4001245;1968;2
65552;4001245;1823;2
65553;4001245;2130;2
65554;4001245;2128;2
65555;4001245;2136;2
65556;4001245;2140;2
65557;4001245;2134;2
65558;4001245;2132;2
65559;4001245;338;2
65560;4001245;350;2
65561;4001245;340;2
65562;4001245;308;2
65563;4001245;306;2
65564;4001245;310;2
65565;4001245;312;2
65566;4001245;596;2
65567;4001245;598;2
65568;4001245;600;2
65569;4001245;590;2
65570;4001245;55;2
65571;4001245;57;2
65572;4001245;59;2
65573;4001245;2321;2
65574;4001245;60;2
65575;4001245;58;2
65576;4001245;64;2
