ID;SEG_ID;PATH_VERSION_ID;LENGTH;PTSG_ORDER
4017449;4003215;4004760;4588;2
4023986;1002780;4002403;5391;1
4017486;1002540;1024644;8500;1
4017526;4003379;4004805;1;1
4017528;4003378;4004804;1;1
4025226;4004854;4006940;3971;1
4031447;1000469;1025094;4478;2
4031448;1003144;1025094;2976;3
4023987;1000556;4002403;2341;2
4023988;4001923;4002403;560;3
4024006;1000837;1024746;3408;1
4024007;1000476;1024746;2139;2
4018310;1000045;1025474;946;1
4018311;1002862;1025474;1460;2
4018312;1004042;1025474;3160;3
4031449;1003142;1025094;2873;4
4031453;708;1025093;207;4
4013764;1000604;4003343;300;1
4013765;4002475;4003343;2850;2
4028452;4000367;4005480;2933;2
4027746;4005234;4007440;1881;1
4027747;4005235;4007440;4590;2
4021306;1000401;4001845;1400;1
4031454;1003141;4001521;3121;1
4031455;4001201;4001521;1591;2
4021307;4001487;4001845;1804;2
4021308;1000665;4001845;2930;3
4020452;4003154;4005680;649;1
4024066;4004694;4006640;8800;1
4024067;4004695;4006641;10000;1
4028453;4003854;4005480;2383;3
4020453;840;4005680;2202;2
4020454;1003301;4005680;2397;3
4020455;4002494;4005680;2406;4
4020456;1001020;4005680;2639;5
4020457;4002475;4005680;2360;6
4020458;842;4005680;1706;7
4031456;4001203;4001523;1929;1
4031457;1003142;4001523;2880;2
4029846;1003366;4007101;3906;1
4029847;1000629;4007101;2398;2
4029848;4001483;4007101;2829;3
4029849;1003441;4007101;3410;4
4029850;837;4007101;2058;5
4031726;1002886;4003660;5540;1
4031727;4002634;4003660;3987;2
4031728;4002635;4003660;4354;3
4031688;1003025;1025614;3995;3
4031766;1002879;4005360;2747;1
4031767;1002881;4005360;5043;2
4031768;1002883;4005360;3193;3
4031706;1003026;1025613;3589;1
4027766;4005254;4007460;9600;1
4029851;1001261;4007101;1933;6
4029186;1002879;4004020;2603;1
4029187;1003183;4004020;2469;2
4028046;1000672;1024813;462;1
4028047;1003304;1024813;1891;2
4028048;1000932;1024813;2076;3
4031707;1003024;1025613;8804;2
4031708;1003581;1025613;3367;3
4031729;1002880;4003660;2550;4
4031746;1002879;1024785;2747;1
4028460;1148;4000403;2770;1
4028461;4000361;4000403;4527;2
4028462;1001401;4000403;4742;3
4028463;4000365;4000403;2731;4
4028464;4000369;4000403;5168;5
4031747;1002881;1024785;5045;2
4031748;1002883;1024785;3193;3
4031749;1002885;1024785;5175;4
4031769;4003714;4005360;3708;4
4029188;1706;4004020;1646;3
4029189;1002782;4004020;2505;4
4028467;4000361;4000841;4527;1
4028468;1001401;4000841;4742;2
4028469;4000365;4000841;2731;3
4028470;4000369;4000841;5168;4
4028471;4003855;4005481;1797;1
4028472;4000365;4005481;2791;2
4028473;4000369;4005481;5317;3
430;1002942;1024853;9850;1
431;1002941;1024854;10330;1
443;1001639;1024893;900;1
444;1001640;1024894;900;1
445;1002981;1024913;9540;1
446;602;1024913;9268;2
4005243;4001081;4001405;10000;1
4005245;4001083;4001407;10000;1
4005247;4001123;4001441;13500;1
4005249;4001121;4001443;13500;1
4006430;1064;23507;4484;1
4006431;1063;23506;4668;1
4019026;4003675;4005221;1143;1
4019027;4003655;4005221;1563;2
4019028;4003654;4005220;1760;1
4023066;1000176;4006220;1690;1
4023067;1000235;4006220;950;2
4023068;1003482;4006220;1560;3
4014594;4000601;4000721;3387;1
4020526;4002474;4003342;2900;1
4020527;1000603;4003342;255;2
553;1003161;1025114;8740;1
4012748;1790;76403;2009;1
4014595;999;12666;3427;1
4009734;1003844;1025856;3430;1
4009735;1003842;1025856;1890;2
4012749;1788;76403;1523;2
4014686;4002654;4003700;3154;1
4014687;4002655;4003700;2434;2
4024746;4004775;4006761;6088;1
4023069;1003481;4006220;1560;4
4024747;4004794;4006800;7032;1
4026946;4003935;4005900;2847;1
4026127;1007;7490;2997;1
4020333;835;4005681;1100;1
4019528;4003734;4005402;8170;1
4020334;4002474;4005681;2900;2
4020335;1001019;4005681;2730;3
4020336;1003304;4005681;1970;4
4020337;1003302;4005681;2590;5
4017772;1001802;1025936;1975;1
4019529;1003721;4005402;2070;2
4020338;837;4005681;2100;6
4020339;4003155;4005681;531;7
4026128;1008;7489;3134;1
4020788;4004014;4005800;4342;1
4020789;4004015;4005800;2985;2
4022594;1394;1024953;3100;1
4022595;1002911;1024953;3610;2
4020370;4003935;4005581;2558;1
4020371;1003304;4005581;1901;2
4020372;1004042;4005581;2944;3
4020373;4001603;4005581;1292;4
4014688;4002495;4003700;2091;3
4014689;1003302;4003700;2420;4
4014690;837;4003700;2325;5
4014691;838;4003700;2894;6
4026146;4004914;4007040;3385;1
4026147;1002911;4007040;3700;2
4014605;1000419;1024464;3115;1
4014606;1000420;1024465;2714;1
4020573;4002654;4005740;3153;1
4026148;1002915;4007040;3813;3
4026149;1000820;4007040;1730;4
4017773;1003924;1025936;3220;2
4017774;1003922;1025936;2786;3
4017775;1143;1025936;3647;4
4026166;1000821;4007041;2000;1
4026167;1002916;4007041;3724;2
4027666;865;1025714;3578;1
4027667;1003686;1025714;659;2
4027668;1003684;1025714;2286;3
4020766;4001601;4005580;1921;1
4020767;1004041;4005580;2658;2
4020768;1003303;4005580;1882;3
4020769;4003934;4005580;2497;4
4027669;1003682;1025714;2666;4
4027670;1003722;1025714;2511;5
4019029;4003674;4005220;1172;2
4027671;1003684;1025716;2286;1
4020773;4001601;4002005;1921;1
4020774;1004041;4002005;2637;2
4020775;1003303;4002005;1988;3
4020776;1000671;4002005;420;4
4020777;1000404;4002005;1586;5
4020778;1000637;4002005;4316;6
4022286;1002721;1025853;4900;1
4022287;1003841;1025853;2100;2
4022288;1003843;1025853;3870;3
4022289;1003844;1025854;3430;1
4022290;1003842;1025854;1890;2
4022291;1002722;1025854;5200;3
4022596;1002913;1024953;2970;3
4022597;1000946;1024953;1025;4
4005251;1003761;1025773;10000;1
4005253;1003762;1025774;10000;1
4005255;4001125;4001445;10000;1
4005257;4001127;4001447;10000;1
4022806;248;4006020;4641;1
4022598;1000945;1024954;970;1
4022599;1002914;1024954;2990;2
4022600;1002912;1024954;3780;3
4022601;1395;1024954;3100;4
4022786;248;4004683;5516;1
661;943;12632;6566;1
4005259;4001129;4001449;8500;1
4005261;4001131;4001451;8500;1
4022787;1001640;4004683;2745;2
4022807;250;4006021;5151;1
666;947;12636;4037;1
667;948;12637;3863;1
669;951;12639;1810;1
670;941;12630;6822;1
4002161;4001041;4001361;4007;1
4000937;4000485;4000529;150;1
4000939;4000487;4000531;150;1
4002163;4001043;4001363;3860;1
4023026;4002372;4003178;1722;1
4023027;1000234;4003178;920;2
4023028;1000175;4003178;1510;3
4023106;1000045;4006200;950;1
4023107;1000176;4006200;1690;2
682;742;8651;5398;1
683;743;8652;5413;1
4023108;1000235;4006200;950;3
4023109;1003482;4006200;1560;4
4023110;1003481;4006200;1560;5
4023070;4004274;4006220;777;5
4023088;4002372;4003158;1722;1
4023089;1000234;4003158;920;2
4023090;1000175;4003158;1510;3
4023091;1000043;4003158;950;4
694;980;12734;8450;1
695;979;12735;7793;1
696;982;12736;8450;1
697;981;12737;7779;1
4023111;4004274;4006200;777;6
702;988;12740;8591;1
4026947;4003934;4005901;2607;1
4026966;250;4003801;4457;1
707;996;12748;3506;1
4026967;1042;4003801;4733;2
4026968;4002694;4003801;2701;3
4026969;4002695;4003800;3052;1
711;61;153;9604;1
712;60;152;9312;1
713;760;9674;10197;1
4026168;1002912;4007041;3732;3
4026169;4004915;4007041;3616;4
4026970;1045;4003800;5123;2
717;216;1868;6593;1
718;150;1608;4188;1
719;151;1610;13210;1
4026971;248;4003800;4094;3
4027672;1003682;1025716;2666;2
4014746;1000662;1024791;1646;1
4014747;1000663;1024791;2191;2
724;584;7327;2270;1
4014748;1000688;1024791;2200;3
726;599;7334;8057;1
727;602;7341;9268;1
728;603;7342;10533;1
729;613;7343;11659;1
4014749;1002888;1024791;2161;4
4014750;1000786;1024791;1654;5
732;614;7346;11579;1
733;615;7347;1865;1
4027673;1003722;1025716;2511;3
4027786;1002893;1024798;4059;1
4026252;862;12231;7311;1
4026253;860;12229;7905;1
4027787;1002895;1024798;3774;2
4027788;1002897;1024798;3731;3
4014757;4000921;4001205;2055;1
4014758;1003841;1025855;2126;1
742;218;1870;4726;1
4014759;1003843;1025855;4042;2
746;426;4250;7349;1
748;238;2140;2451;1
750;65;190;1164;1
751;116;480;1509;1
755;377;3678;9045;1
756;314;2372;6750;1
757;271;2225;3201;1
759;366;3264;3410;1
760;330;2398;8696;1
761;450;4685;13879;1
764;428;4252;13423;1
765;557;6692;1880;1
768;149;1538;4604;1
769;132;655;6267;1
773;186;1287;2776;1
774;169;1035;11612;1
775;172;1037;11732;1
776;315;2373;7730;1
777;130;653;13981;1
778;152;1609;13870;1
779;285;2353;9036;1
780;173;1039;11785;1
781;284;2352;9072;1
783;425;4249;7841;1
784;427;4251;17054;1
785;559;6693;2120;1
787;516;6530;2530;1
788;133;656;8899;1
789;131;654;13774;1
791;499;5364;2545;1
792;451;4686;9190;1
793;495;4986;6033;1
794;519;6531;2639;1
795;494;4985;5002;1
801;73;1695;1727;1
802;236;2138;2113;1
803;185;1284;2853;1
804;71;328;9831;1
805;64;189;1298;1
806;72;1696;1781;1
807;217;1869;7710;1
808;215;1867;6326;1
810;117;481;1576;1
812;368;3266;4420;1
814;616;7350;1292;1
4005561;4002161;4002801;10000;1
4005563;4002163;4002803;10000;1
4014286;623;1025194;1008;1
819;493;4983;2933;1
820;430;13080;8514;1
4026346;1001699;1025173;3784;1
4026347;4004234;1025173;4632;2
4006172;4002334;4003120;10383;1
4006173;4002335;4003121;11049;1
4022512;1000498;4003761;2770;1
4014287;1159;1025194;3926;2
827;704;7495;9120;1
828;702;7496;9130;1
829;718;7688;7384;1
830;719;7689;8231;1
4014288;1003242;1025194;3398;3
4012786;4002914;4004180;1382;1
4022506;1003001;4003380;1533;1
835;724;7715;9438;1
4004529;1003602;1025636;2210;2
837;786;7712;10646;1
839;787;7471;11491;1
4022507;1000666;4003380;2909;2
4006174;4002352;4003122;10798;1
4011239;4002876;4004120;3349;1
4022508;1003003;4003380;2677;3
4022509;1003004;4003381;2555;1
4022510;1000665;4003381;2930;2
846;1003904;1025914;4120;1
847;1003902;1025914;3100;2
4026348;4004235;1025174;4759;1
4026349;1001700;1025174;3150;2
4022511;1003002;4003381;1514;3
4007171;875;12274;1321;1
4025146;1000785;1024792;1460;1
853;815;12190;2904;1
854;816;12191;2664;1
855;828;4261;10639;1
4025147;1002887;1024792;2316;2
4024028;1000785;4006301;1727;1
4024029;1000786;4006301;1993;2
4022513;1000497;4003760;2810;1
4015466;4003274;4004700;2239;1
862;845;12212;5272;1
863;843;12213;6065;1
865;859;12228;8680;1
866;867;12234;3874;1
867;868;12235;4139;1
4025846;1003241;4006961;3120;1
869;877;12275;10033;1
870;878;12276;9876;1
871;876;12273;1430;1
872;896;12433;12352;1
873;894;12434;11871;1
874;921;12452;952;1
875;923;12453;993;1
4026359;1000676;1024978;1763;1
4026360;1000687;1024978;1859;2
4026352;4001641;4002121;6489;1
4015467;4003275;4004701;1813;1
880;930;12459;8410;1
881;933;12463;9300;1
882;935;12464;14376;1
883;936;12465;14263;1
4026353;4004234;4002121;4632;2
4025866;1003242;4006960;3120;1
4026354;4004235;4002123;3812;1
887;861;12230;8880;1
4026355;4001643;4002123;6540;2
889;1707;72102;8610;1
4026466;949;1023329;594;1
4026467;1045;1023329;5124;2
4026468;248;1023329;4092;3
4026361;1001599;1024978;7401;3
4026362;1001600;1024977;6621;1
4026363;1000688;1024977;2172;2
4026364;1000675;1024977;1654;3
4025126;1000688;1024793;2382;1
4025127;1002888;1024793;2161;2
