ID;CODE;COLOR;OBS;PRECEDING_ID;DEPOTS;SCHEDULE_ID;VEHICLETYPE_ID
1260641;03;16776960;;;1;10565723;
1261180;08;13540765;;;0;10566143;
1241460;64;6357185;;;0;10557203;
1241461;65;0;;;0;10557203;
1354479;61;128;;;0;10581163;
1241462;66;30583;;;0;10557203;
1261181;09;8405056;;;0;10566143;
1213560;01;255;;;0;10545263;
1260442;01;255;;;0;10565523;
1209139;01;255;;;0;10541223;
1260443;03;16776960;;;0;10565523;
1239459;02;65280;;;0;10562763;
1209140;02;65280;;;0;10541223;
1413723;54;43176;;;0;10604503;
1413724;18;10878976;[$I_11:40];;1;10604503;
1413725;19;0;[$I_12:18];;1;10604503;
1413726;17;16744703;;;0;10604503;
1413727;15;8421376;;;0;10604503;
1422659;09;8405056;;;0;10606863;
1228321;01;255;;;0;10557725;
1413728;16;8454143;;;0;10604503;
1229126;05;32768;;;0;10558783;
1229127;01;255;[$I_21:17][$I_21:08];;0;10558783;
1413729;01;255;;;0;10604503;
1228339;01;255;[$I_14:50];;0;10557743;
1229128;02;65280;[$I_19:39][$I_19:39];;0;10558783;
1229129;09;8405056;;;0;10558783;
1352379;01;255;[$I_12:25][$I_14:20][$I_12:35][$I_14:10];;0;10580643;
1413730;07;16711935;;;0;10604503;
1413731;09;8405056;;;0;10604503;
1352380;02;65280;[$I_12:50][$I_13:55][$I_13:00];;0;10580643;
1352381;01;255;[$I_14:20];;0;10580644;
1260444;04;8388863;;;0;10565523;
1260445;02;65280;;;0;10565523;
1413732;10;33023;;;0;10604503;
1260446;05;32768;;;0;10565523;
1260447;06;65535;;;0;10565523;
1261182;05;32768;;;0;10566143;
1261183;01;255;;;0;10566143;
1176022;02;65280;;;0;10516023;
1176023;03;16776960;;;0;10516023;
1413733;14;8421568;;;0;10604503;
1352382;02;65280;[$I_14:09];;0;10580644;
1210599;01;255;;;0;10542403;
1210600;02;65280;;;0;10542403;
1239460;08;13342358;;;0;10562763;
1413734;03;16776960;;;0;10604503;
1413735;12;8175294;;;0;10604503;
1413736;06;65535;;;0;10604503;
1210601;03;16776960;;;0;10542403;
1413737;08;14069165;;;0;10604503;
1413738;13;16744448;;;0;10604503;
1413739;05;32768;;;0;10604503;
1413740;02;65280;;;0;10604503;
1413741;04;8388863;;;0;10604503;
1413742;22;8454016;;;1;10604503;
1261184;03;16776960;;;0;10566143;
1352399;01;255;;;0;10580663;
1239461;05;32768;;;0;10562763;
1239462;07;16711935;;;0;10562763;
1239463;06;65535;;;0;10562763;
1261185;04;8388863;;;0;10566143;
1261186;02;65280;;;0;10566143;
1261187;10;33023;;;0;10566143;
1413743;21;11777023;;;1;10604503;
1261188;06;65535;;;0;10566143;
1261189;11;16744640;;;0;10566143;
1352400;02;65280;;;0;10580663;
1413744;20;12632256;;;1;10604503;
1413745;23;16777088;;;1;10604503;
1413746;11;16744640;;;0;10604503;
1355102;20;12632256;;;1;10581463;
1355103;12;7059126;;;0;10581463;
1413747;13;16744448;;;0;10604523;
1413748;11;16744640;;;0;10604523;
1413749;05;32768;;;0;10604523;
1241463;67;11010216;;;0;10557203;
1239464;03;16776960;;;0;10562763;
1239465;01;255;;;0;10562763;
1239466;04;8388863;;;0;10562763;
1413750;03;16776960;;;0;10604523;
1413751;10;33023;;;0;10604523;
1413752;07;16711935;;;0;10604523;
1413753;01;255;;;0;10604523;
1413754;08;13739429;;;0;10604523;
1413755;02;65280;;;0;10604523;
1413756;09;8405056;;;0;10604523;
1413757;06;65535;;;0;10604523;
1413758;04;8388863;;;0;10604523;
1413759;12;8503488;;;0;10604523;
1413760;61;160;;;0;10604523;
1413859;01;255;;;0;10604603;
1413860;02;65280;;;0;10604603;
1413861;03;16776960;;;0;10604603;
1413862;04;8388863;;;0;10604603;
1413879;09;8405056;;;0;10604623;
1413880;03;16776960;;;0;10604623;
1241464;68;5844224;;;0;10557203;
1355104;13;16744512;;;0;10581463;
1355105;14;8421568;;;0;10581463;
1355106;15;8421440;;;0;10581463;
1413881;05;32768;;;0;10604623;
1413882;11;16744640;;;0;10604623;
1277259;01;255;;;0;10568703;
1413883;06;65535;;;0;10604623;
1413884;02;65280;;;0;10604623;
1210602;04;8388863;;;0;10542403;
1210603;05;32768;;;0;10542403;
1413885;07;16711935;;;0;10604623;
1413886;10;33023;;;0;10604623;
1413887;01;255;;;0;10604623;
1413888;08;14465208;;;0;10604623;
1277260;02;65280;;;0;10568703;
1413889;04;8388863;;;0;10604623;
1413890;12;8306366;;;0;10604623;
1423339;51;0;;;0;10607023;
1422660;01;255;;;0;10606863;
1422661;02;65280;;;0;10606863;
1422662;04;8388863;;;0;10606863;
1216301;01;255;;;0;10548224;
1216302;02;65280;;;0;10548224;
1422663;10;33023;;;0;10606863;
1422664;06;65535;;;1;10606863;
1422665;08;13739429;;;0;10606863;
1422666;07;16711935;;;0;10606863;
1422667;03;16776960;;;0;10606863;
1422668;05;32768;;;1;10606863;
1422995;61;3947580;;;0;10606883;
1423340;52;1973790;;;0;10607023;
1422996;62;5921370;;;0;10606883;
1423341;53;3947580;;;0;10607023;
1277261;03;16776960;;;0;10568703;
1278239;01;255;;;0;10568843;
1278240;02;65280;;;0;10568843;
1278241;03;16776960;;;0;10568843;
1278242;04;8388863;;;0;10568843;
1187818;02;65280;[$I_12:50][$I_20:49][$I_12:50][$I_14:01][$I_12:50][$I_14:01];;0;10525725;
1187819;01;255;;;0;10525725;
1423342;54;5263440;;;0;10607023;
1423343;55;5921370;;;0;10607023;
1423344;56;6579300;;;0;10607023;
1423345;57;7237230;;;0;10607023;
