PLANNING_SCHEDULE_ID;TRIP_ID
10556403;2999901
10556403;2999902
10556403;2999903
10556403;2999904
10556403;2999905
10556403;2999906
10556403;2999907
10556403;2999908
10556403;2999909
10556403;2999910
10556403;2999911
10556403;2999912
10556403;2999913
10556403;2999914
10556403;2999915
10556403;2999916
10556403;2999917
10556403;2999918
10556403;2999919
10556403;2999920
10556403;2999921
10556403;2999922
10556403;2999923
10556403;2999924
10556403;2999925
10556403;2999936
10556403;2999937
10556403;2999938
10556403;2999939
10556403;2999940
10556403;2999941
10556403;2999942
10556403;2999943
10556403;2999944
10556403;2999945
10556403;2999946
10556403;2999947
10556403;2999948
10556403;2999949
10556403;2999950
10556403;2999951
10556403;2999952
10556403;2999953
10556403;2999954
10556403;2999955
10556403;2999956
10556403;2999957
10556403;2999958
10556403;2999962
10556403;2999963
10556403;2999964
10556403;2999965
10556403;2999966
10556403;2999967
10556403;2999968
10556403;2999969
10556403;2999970
10556403;2999971
10556403;2999972
10556403;2999973
10556403;2999974
10556403;2999975
10556403;2999976
10556403;2999977
10556403;2999978
10556403;2999979
10556403;2999980
10556403;2999981
10556403;2999982
10556403;2999983
10556403;2999984
10556403;2999985
10556403;2999986
10556403;2999987
10556403;2999988
10556403;2999989
10556403;2999990
10556403;2999996
10556403;2999997
10556403;2999998
10556403;2999999
10556403;3000000
10556403;3000001
10556403;3000002
10556403;3000003
10556403;3000004
10556403;3000005
10556403;3000006
10556403;3000007
10556403;3000008
10556403;3000009
10556403;3000010
10556403;3000011
10556424;3000281
10556424;3000282
10556424;3000299
10556424;3000300
10556424;3000301
10556424;3000302
10556424;3000303
10556424;3000304
10556424;3000305
10556424;3000306
10556424;3000307
10556424;3000308
10556424;3000309
10556424;3000310
10556424;3000315
10556424;3000316
10556424;3000317
10556424;3000318
10556424;3000319
10556424;3000320
10556424;3000321
10556424;3000322
10556424;3000323
10556424;3000324
10556424;3000325
10556424;3000326
10556424;3000327
10556424;3000328
10556424;3000329
10556424;3000330
10556424;3000414
10556424;3000415
10556424;3000416
10556424;3000417
10556424;3000418
10556424;3000419
10556424;3000420
10556424;3000421
10556424;3000422
10556424;3000423
10556424;3000424
10556424;3000425
10556424;3000426
10556424;3000427
10556424;3000428
10556424;3000429
10556424;3000430
10556424;3000431
10556424;3000432
10556424;3000433
10556424;3000434
10556424;3000435
10556424;3000436
10556424;3000437
10556424;3000438
10556424;3000439
10556424;3000440
10556424;3000441
10556424;3000442
10556424;3000443
10556424;3000444
10556424;3000445
10556424;3000446
10556424;3000447
10556424;3000448
10556424;3000449
10556424;3000450
10556424;3000451
10556424;3000452
10556424;3000453
10556424;3000454
10556424;3000455
10556424;3000456
10556424;3000457
10556424;3000458
10556424;3000459
10556424;3000460
10556424;3000461
10556424;3000462
10556424;3000463
10556424;3000464
10556424;3000465
10556424;3000466
10556424;3000467
10556424;3000468
10556424;3000469
10556424;3000470
10556424;3000471
10556424;3000472
10556424;3000473
10556424;3000474
10556424;3000475
10556424;3000476
10556424;3000477
10556424;3000478
10556424;3000479
10556424;3000480
10556424;3000481
10556424;3000482
10556424;3000483
10556424;3000484
10556424;3000485
10556424;3000486
10556424;3000487
10556424;3000488
10556424;3000489
10556424;3000490
10556424;3000491
10556424;3000492
10556424;3000493
10556424;3000494
10556424;3000495
10556424;3000496
10556424;3000497
