ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
4005060;PLCamoes_Mf(Est);Y;1;0
1023770;Pt(Est)_QAlcout;Y;1;0
1023771;QAlcout_Pt(Est);Y;1;0
1023804;CREst_ISEL;Y;1;0
1023805;ISEL_CREst;Y;1;0
4005061;Mf(Est)_PLCamoes;Y;1;0
4005140;Estrela=MMoniz25E;N;0;0
1023826;Mf(Est)_ERoma-Ar;Y;1;0
1023827;ERoma-Ar_Mf(Est);Y;1;0
1023844;CasAjuda_CREst;Y;1;0
1023884;CREst_CGrandeM;Y;1;0
4005160;Estrela=PFigueir25E;N;0;0
1023885;PontinhM_CREst;Y;1;0
1023904;CREst_Fetais;Y;1;0
1023905;Fetais_CREst;Y;1;0
4005180;MMoniz=PLCamoes12E;N;0;0
1023907;CREst_SRoubado;Y;1;0
1023908;SRoubado_CREst;Y;1;0
1023909;CREst_OdivB;Y;1;0
1023910;CREst_CasAjuda;Y;1;0
1023911;BMDeus_CREst;Y;1;0
1023912;CREst_BoaHora;Y;1;0
1023913;BoaHora_CREst;Y;1;0
1023914;CREst_LVelha;Y;1;0
1023915;LVelha_CREst;Y;1;0
1023916;Musgueira_CREst;Y;1;0
1023917;Mg(Est)_BoaHora;Y;1;0
1023918;BoaHora_Mg(Est);Y;1;0
1023919;Mg(Est)_LVelha;Y;1;0
1023920;LVelha_Mg(Est);Y;1;0
4005220;PLCamoes_CampolE;N;0;0
1023946;Pt(Est)_Rato;Y;1;0
1023947;Rato_Pt(Est);Y;1;0
1023964;OdivB_CREst;Y;1;0
4005221;Campol_PLCamoesE;N;0;0
4005640;Entrecp_Restelo;N;0;0
4005641;Restelo_Entrecp;N;0;0
4005660;Entrecp_Mf(Est);N;1;0
4006180;StAmaro_PontinhR;N;0;0
4006260;Galinheir_QLavad;N;0;0
1024332;Pt(Est)_PReal;Y;1;0
4006261;QLavad_Galinheir;N;0;0
4006280;Mg(Est)_QLavad;N;1;0
4006281;QLavad_Mg(Est);N;1;0
1024064;Olivais_Mg(Est);Y;1;0
1024065;Mg(Est)_Olivais;Y;1;0
1024066;PNacoesN_Mg(Est);Y;1;0
1024067;Mg(Est)_PNacoesN;Y;1;0
1024070;ACego_Pt(Est);Y;1;0
1024071;Pt(Est)_ACego;Y;1;0
1024084;Sapador=PChile;N;0;0
1024085;PChile=Sapador;N;0;0
1024086;Pt(Est)_PChile;Y;1;0
1024124;Galinheir_CREst;Y;1;0
1024144;CREst_PontinhM;Y;1;0
1024145;CGrandeM_CREst;Y;1;0
1024146;CREst_Olaias;Y;1;0
1024147;Olaias_CREst;Y;1;0
1024164;Sapador_Pt(Est);Y;1;0
1024165;Pt(Est)_Sapador;Y;1;0
4006900;Amoreiras=ECampol;N;0;0
1024184;Marvila_Mg(Est);Y;1;0
1024185;Mg(Est)_Marvila;Y;1;0
4006301;CSodre_CSodre;N;0;0
1024216;ADamaia_Mf(Est);Y;1;0
1024217;Mf(Est)_ADamaia;Y;1;0
1024246;Mg(Est)_Santos;Y;1;0
1024247;Santos_Mg(Est);Y;1;0
1024306;AlcantT_Pt(Est);Y;1;0
1024307;Pt(Est)_AlcantT;Y;1;0
1024344;CGrandeM_SRios;N;0;0
1024345;SRios_CGrandeM;N;0;0
1024352;SerafinaI_ECampol;N;0;0
1024353;ECampol_SerafinaI;N;0;0
1024356;Amoreiras_Mg(Est);Y;1;0
1024357;Mg(Est)_Amoreiras;Y;1;0
1024358;Amoreiras_CREst;Y;1;0
1024359;CREst_Amoreiras;Y;1;0
1025604;RConceic=Estrela;N;0;0
1025605;Estrela=RConceic;N;0;0
1025853;CUnivers_DamaiaC;N;0;0
1025854;DamaiaC_CUnivers;N;0;0
1024406;CREst_PNacoesN;Y;1;0
1024407;PNacoesN_CREst;Y;1;0
1024408;CREst_MMoniz;Y;1;0
1024409;MMoniz_CREst;Y;1;0
1024410;CREst_PChile;Y;1;0
1024411;PChile_CREst;Y;1;0
1024424;CREst_Junqueira;Y;1;0
1024425;Junqueira_CREst;Y;1;0
1025855;CMilitM_DamaiaC;N;0;0
1025856;DamaiaC_CMilitM;N;0;0
1024464;AAjuda_BelemP;N;0;0
1024465;BelemP_AAjuda;N;0;0
1026113;CPequeno_AlfragBZ;N;0;0
1024486;Mg(Est)_PUAjuda;Y;1;0
1024487;PUAjuda_Mg(Est);Y;1;0
1024490;Mf(Est)_EBenfica;Y;1;0
1024491;EBenfica_Mf(Est);Y;1;0
1024492;Mg(Est)_Calvario;Y;1;0
1026114;AlfragBZ_CPequeno;N;0;0
1026115;SRios_AlfragBZ;N;0;0
1024495;AStAmaro_Mf(Est);Y;1;0
1024496;Mf(Est)_AStAmaro;Y;1;0
1026116;AlfragBZ_SRios;N;0;0
1024506;AvJMalhoa_Pt(Est);Y;1;0
1024507;Pt(Est)_AvJMalhoa;Y;1;0
1024508;AvJMalhoa_SRios-V;N;0;0
1024624;CREst_Olivais;Y;1;0
1024625;Olivais_CREst;Y;1;0
1024644;COurique_SRios-V;N;0;0
1024666;PCampismo_Mf(Est);Y;1;0
1024688;Portela_Restelo;N;0;0
1024689;CSodre_Portela;N;0;0
