ID;NAME
1297;R_9R-0-DESC
1298;R_9R-0-ASC
1357;R_(84F)9F-1-ASC
1358;R_(84F)9F-1-DESC
1397;79B-0-CIRC
1417;76B-0-CIRC
1457;727-5-ASC
1517;18E-7-DESC
1557;70B-0-CIRC
1617;15E-1-ASC_obras
1618;15E-1-DESC_obras
1619;15E-5-ASC_obras
1620;15E-5-DESC_obras
1917;702-4-ASC
1918;702-4-DESC
1937;767-4-ASC
1957;767-4-DESC
2457;67B-0-CIRC
2477;49B-0-CIRC
2559;727-7-DESC
2657;86A-0-ASC_Brunch
2658;86A-0-DESC_Brunch
2659;86B-0-ASC_Brunch
2660;86B-0-DESC_Brunch
2897;81B-0-ASC_MVGama
2917;81B-0-DESC_MVGama
3137;714-0-DESC_InterrupRPrata
295;747-0-ASC
296;747-0-DESC
336;755-0-DESC
418;727-4-ASC
537;758-4-ASC
419;727-5-ASC (Retirado)
538;717-9V-A
539;717-9V-D
617;723-4-DESC
3157;714-4-ASC_InterrupRPrata
777;714-1-ASC
778;714-1-DESC
817;25E-8-ASC
818;25E-8-DESC
1077;727-5-DESC (Retirado)
1017;720-1-ASC
1037;720-1-DESC
1477;43B-0-CIRC
1497;44B-0-CIRC
1437;73B-0-CIRC
1537;37B-0-CIRC
1577;54E-0-ASC
1578;54E-0-DESC
1637;58B-0-CIRC
1657;28E-8-ASC
1677;28E-8-DESC
1697;28E-7-ASC
1698;28E-7-DESC
1717;28E-6-CIRC
1817;41B-0-ASC
1837;41B-0-DESC
1977;R_99D-0-ASC
1997;R_99D-0-DESC
2417;771-0-ASC
2418;771-0-DESC
2317;19B-0-CIRC
2357;17B-0-CIRC
2617;83A-0-ASC
2618;83A-0-DESC
2637;84G-0-ASC_RIR
2638;84G-0-DESC_RIR
3177;15E-7-ASC_InterrupRPrata
3178;15E-7-DESC_InterrupRPrata
3197;712-0-ASC_Obras
3198;712-0-DESC_Obras
3217;712-2-ASC_Obras
3218;712-2-DESC_Obras
