ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
716;AV. MARQUÊ TOMAR - S. SEBAST;AV. MARQUÊ TOMAR - S. SEBAST;38,7347984313965;-9,14949512481689;T;Y;Y;1416
717;Al. Fernão Lopes (Est. Miraflores);Al. Fernão Lopes (Est. Miraflores);38,7146415710449;-9,22922515869141;T;Y;Y;14305
718;Al. Fernão Lopes (Est. Miraflores);Al. Fernão Lopes (Est. Miraflores);38,7150001525879;-9,22943687438965;T;Y;Y;14306
719;Miraflores Norte;Miraflores Norte;38,7141494750977;-9,227219581604;T;Y;Y;14307
720;Miraflores Norte;Miraflores Norte;38,714241027832;-9,22630596160889;T;Y;Y;14308
721;Miraflores;Miraflores;38,7133293151855;-9,22525405883789;T;Y;Y;14309
722;Miraflores;Miraflores;38,7133102416992;-9,22505855560303;T;Y;Y;14310
723;Esc. Prep. Miraflores;Esc. Prep. Miraflores;38,7110786437988;-9,22618961334229;T;Y;Y;14311
724;Esc. Prep. Miraflores;Esc. Prep. Miraflores;38,711238861084;-9,22586631774902;T;Y;Y;14312
725;Portagem (Cristo-Rei);Portagem (Cristo-Rei);38,673812;-9,174;T;Y;Y;14601
726;Portagem (Cristo-Rei);Portagem (Cristo-Rei);38,674279;-9,173319;T;Y;Y;14602
727;R. Adães Bermudes;R. Adães Bermudes;38,756420135498;-9,12064075469971;T;Y;Y;14701
728;R. Adães Bermudes;R. Adães Bermudes;38,7562103271484;-9,1207160949707;T;Y;Y;14702
729;R. Luis Cristino Silva;R. Luis Cristino Silva;38,7581214904785;-9,12292861938477;T;Y;Y;14703
730;R. Luis Cristino Silva;R. Luis Cristino Silva;38,7579002380371;-9,12318515777588;T;Y;Y;14704
731;B.º Loios;B.º Loios;38,7592506408691;-9,12471485137939;T;Y;Y;14705
732;B.º Loios;B.º Loios;38,7591209411621;-9,1248025894165;T;Y;Y;14706
733;Esc. Damião Gois;Esc. Damião Gois;38,7574005126953;-9,12654590606689;T;Y;Y;14707
