LINE_VERSION_ID;PATH_ID;ID;ORIENTATION;INTERNAL
1000569;4004401;13329;2;N
1000569;4006700;13330;1;N
1000039;1025636;14013;0;Y
1000039;4002321;14014;2;Y
1000039;4002323;14015;1;Y
4001108;4006460;12948;1;N
4001108;4006461;12949;2;N
4001108;4006500;12950;1;N
4000648;4004640;7008;1;N
1000564;1022840;2449;2;N
4001108;4006501;12951;2;N
4000648;4004641;7009;2;N
109;1023222;13128;1;N
1000096;1026094;7324;2;N
1000096;1026095;7325;2;N
1000096;1026093;7326;1;N
1000233;1025614;12468;1;N
4001208;4007241;11888;3;N
4001148;4006961;11308;2;N
109;1025453;13129;1;N
109;1025454;13130;2;N
109;1023218;13131;1;N
4001148;4006960;11309;1;N
1000012;4003823;10829;2;N
1000012;4003826;10830;1;Y
1000394;4001603;2247;2;N
1000012;4003822;10831;1;N
1000012;4003820;10832;1;N
1000012;4003821;10833;2;N
1000012;4003840;10834;2;Y
1000012;4003824;10835;1;Y
1000012;4003825;10836;2;Y
1000012;1023570;10837;1;Y
1000564;1022839;2447;1;N
109;4003681;13132;2;N
1000012;1025599;10838;2;Y
1000012;4005080;10839;1;Y
1000569;4006701;13331;2;N
1000294;1025913;13348;1;N
1000294;1025914;13349;2;N
1000093;1026064;13488;2;N
1000093;1026063;13489;1;N
1000093;4005540;13490;1;Y
109;4003720;13133;2;N
109;4004480;13134;1;N
1000093;4006560;13491;1;Y
1000093;4006561;13492;2;Y
1000093;4007801;13493;1;Y
1000093;4007802;13494;2;Y
1000560;1025177;10688;1;Y
4000247;1025554;11568;2;N
109;4004481;13135;2;N
109;4007020;13136;1;Y
1000316;4003083;13248;2;N
4000708;4004682;9648;1;N
4000708;4004683;9649;2;N
4000708;4006020;9650;2;N
4000708;4006021;9651;1;N
4001308;4007360;11988;3;N
1000560;1025178;10689;2;N
1000560;1025179;10690;1;Y
1000560;1025180;10691;2;Y
1000560;1025181;10692;1;N
1000012;4005081;10840;2;Y
1000012;76404;10841;1;Y
1000012;76402;10842;2;Y
1000012;4003158;10843;1;Y
1000560;1025182;10693;2;N
4000247;1025553;11569;1;N
4001309;4007363;11989;3;N
4001348;4007440;12168;3;N
1000233;1025613;12469;2;N
1000316;4003081;13249;1;N
1000555;1024814;13268;1;N
1000555;1024812;13269;1;N
1000555;1024813;13270;2;N
1000555;4002005;13271;1;N
1000555;4002001;13272;1;N
1000560;1025183;10694;1;N
1000560;1025184;10695;2;N
1000555;4002003;13273;2;N
1000555;4002007;13274;2;N
1000560;4003740;10696;1;Y
1000560;4004460;10697;1;Y
1000560;4004461;10698;2;Y
1000394;4001601;2245;1;N
1000560;4006180;10699;1;N
1000012;1025474;10844;2;Y
1000012;4005120;10845;1;Y
1000012;4005121;10846;2;Y
1000012;4004001;10847;2;Y
1000012;4003178;10848;1;Y
1000012;4005140;10849;2;Y
1000012;4005160;10850;2;Y
1000012;4005180;10851;1;Y
1000555;4002041;13275;2;N
1000555;4005580;13276;1;N
1000039;4003381;14016;2;N
1000039;4003380;14017;1;N
1000012;4006200;10852;2;Y
1000012;4006220;10853;2;Y
1000012;4006240;10854;3;Y
1000012;4006320;10855;1;Y
1000555;4005581;13277;2;N
114;4005982;13288;1;N
114;4005983;13289;2;N
1000012;4006321;10856;2;Y
1000012;4006580;10857;3;Y
1000295;4004124;13308;1;N
4000253;7489;11708;1;N
4000253;7490;11709;2;N
4000253;4007120;11710;1;N
4000253;4007121;11711;2;N
1000295;4004122;13309;1;N
1000295;4004123;13310;2;N
1000295;4004125;13311;2;N
1000295;4004440;13312;1;N
4000251;1024708;13313;1;N
4000251;1024707;13314;2;N
4000251;4004020;13315;1;N
4000251;4004021;13316;2;N
1000039;4003760;14018;2;Y
1000039;4003761;14019;1;Y
1000039;4004320;14020;2;Y
1000039;4004322;14021;1;Y
1000039;4004321;14022;1;Y
1000039;4004323;14023;2;Y
1000039;4003920;14024;2;Y
1000039;4003921;14025;1;Y
1000039;4002361;14026;1;Y
1000039;4002363;14027;2;Y
1000039;4008060;14028;1;Y
1000039;4008061;14029;2;Y
1000039;4008100;14030;2;Y
1000039;4008080;14031;1;Y
4000249;4002721;14048;3;N
4000249;4004880;14049;3;N
1000292;4003258;14068;1;N
1000292;4003259;14069;2;N
1000292;4008141;14070;2;Y
1000292;4008140;14071;1;Y
4000161;4004222;7351;1;N
4000161;4004223;7352;2;N
1000273;4003343;13428;1;N
4000401;1025393;7348;3;N
1000112;1024893;7349;1;N
1000112;1024894;7350;2;N
1000273;4003340;13429;1;N
1000273;4003347;13430;1;N
4001028;4006260;10228;1;N
4001028;4006261;10229;2;N
1000563;1025187;3104;1;N
1000563;1025188;3105;2;N
4000928;4005881;11668;3;N
1000273;4003702;13431;2;N
1000273;4003700;13432;2;N
1000273;4005640;13433;1;N
1000273;4005641;13434;2;N
1000273;4005680;13435;1;N
4000928;4004520;11669;0;N
4001008;4006060;11670;3;N
4001048;4006301;10248;3;N
1000273;4005720;13436;1;N
4001008;4004520;11671;0;N
1000273;4005740;13437;2;N
1000273;4007780;13438;1;Y
1000273;4007781;13439;2;Y
4000548;4003481;7732;2;N
1000396;1024818;2595;2;N
4000548;4003480;7733;1;N
4000948;4005940;9568;3;N
4000948;4004520;9569;0;N
4000588;4003880;7928;1;N
1000396;1024817;2593;1;N
1000395;1024798;2597;1;N
1000395;1024799;2599;2;N
4000588;4003881;7929;2;N
4000549;4003482;7730;1;N
4000549;4003483;7731;2;N
4000768;4004800;7694;1;N
4000768;4004801;7695;2;N
4000889;4005801;9412;3;N
4001089;4006380;10408;1;N
4001089;4006381;10409;2;N
4001068;4006340;10410;1;N
4001068;4006341;10411;2;N
